subject,run,hemi,mode_k,beta,p,metric
sub-EN057,15,R,55,-0.0160589537602104,0.4542585157052118,global
sub-EN057,15,R,56,0.0040233895300563,0.949621615510772,global
sub-EN057,15,R,57,-0.0190925961014514,0.4561360561428368,global
sub-EN057,15,R,58,0.110629531489248,0.6140766481336674,global
sub-EN057,15,R,59,0.2025044684794604,0.436598272822299,global
sub-EN057,15,R,60,0.3604765134581045,0.4845787558749636,global
sub-EN057,15,R,61,-0.007907199680097,0.6021480051829576,global
sub-EN057,15,R,62,0.5366510120948383,0.4591045824323188,global
sub-EN057,15,R,63,0.4584617363004039,0.4809299014832724,global
sub-EN057,15,R,64,0.2898573075596984,0.3217422800585318,global
sub-EN057,15,R,65,-0.0235174571120179,0.3932833281488791,global
sub-EN057,15,R,66,0.281002776758774,0.4850349909531904,global
sub-EN057,15,R,67,0.4543470485586487,0.4463475413310939,global
sub-EN057,15,R,68,0.3455879220067295,0.4643816059753873,global
sub-EN057,15,R,69,-0.0078560327571411,0.6734952864538784,global
sub-EN057,15,R,70,0.534498304431279,0.4787647213600314,global
sub-EN057,15,R,71,-0.0030071006568229,0.8551221200290934,global
sub-EN057,15,R,72,0.6507986223821216,0.4794454870406875,global
sub-EN057,15,R,73,-0.0464243769256154,0.2472198586229053,global
sub-EN057,15,R,74,0.0371877957306961,0.5606034088893205,global
sub-EN057,15,R,75,0.5159198136814998,0.4880275538503221,global
sub-EN057,15,R,76,0.0756439784864019,0.4540544228427815,global
sub-EN057,15,R,77,0.1041408493680854,0.5402114746243993,global
sub-EN057,15,R,78,0.1568986560399214,0.469717900303543,global
sub-EN057,15,R,79,0.71674695308551,0.4635215059204588,global
sub-EN057,15,R,80,0.0597592038574706,0.3655492324639555,global
sub-EN057,15,R,81,0.078416818881359,0.4122516885867101,global
sub-EN057,15,R,82,0.0911862124488785,0.542320700233684,global
sub-EN057,15,R,83,0.1106267921779869,0.4561252141457917,global
sub-EN057,15,R,84,0.4098262833660288,0.4989323473911287,global
sub-EN057,15,R,85,0.0011478082708554,0.9927494325160056,global
sub-EN057,15,R,86,0.0284442276453066,0.1232421050812662,global
sub-EN057,15,R,87,0.0031746205504587,0.9119154296370612,global
sub-EN057,15,R,88,0.5167876058365494,0.4871071913683791,global
sub-EN057,15,R,89,0.0351910120283771,0.3740768685117269,global
sub-EN057,15,R,90,0.0757100624307471,0.3815594662823255,global
sub-EN057,15,R,91,0.0506156868930265,0.5133682023537083,global
sub-EN057,15,R,92,-0.0104168235508634,0.7517531418006956,global
sub-EN057,15,R,93,0.2689124392423307,0.485469824532456,global
sub-EN057,15,R,94,0.1815256164639633,0.4127942951520971,global
sub-EN057,15,R,95,0.038490155835351,0.2230572515694636,global
sub-EN057,15,R,96,-0.0081602250550241,0.7133448297645653,global
sub-EN057,15,R,97,-0.0070037800225203,0.6260628505304515,global
sub-EN057,15,R,98,0.0366087944590863,0.3882902902083398,global
sub-EN057,15,R,99,0.129958087826737,0.4541303728045961,global
sub-EN057,15,R,100,0.0284478790764371,0.5651320500431509,global
sub-EN057,15,R,101,0.1382248879995316,0.5328465210539617,global
sub-EN057,15,R,102,-0.0160333356732336,0.7421079476779551,global
sub-EN057,15,R,103,0.1003838505804533,0.3951564963052362,global
sub-EN057,15,R,104,-0.0031902843589791,0.7971232536011953,global
sub-EN057,15,R,105,0.0158494879877509,0.3532808986821738,global
sub-EN057,15,R,106,-0.0088521173981889,0.4783044403909772,global
sub-EN057,15,R,107,-0.0129804544183563,0.3709048429887976,global
sub-EN057,15,R,108,-0.0057478981619741,0.8984310524923965,global
sub-EN057,15,R,109,-0.0098005061291244,0.5829220022134747,global
sub-EN057,15,R,110,0.1993124963914771,0.5533886507167347,global
sub-EN057,15,R,111,1.0606513257610928,0.4732638201030837,global
sub-EN057,15,R,112,0.1177250257889468,0.5045088624836467,global
sub-EN057,15,R,113,-0.0096134266122453,0.6919423098248337,global
sub-EN057,15,R,114,-0.0025925626952619,0.8443852725603671,global
sub-EN057,15,R,115,0.0076130649416808,0.7630879681269137,global
sub-EN057,15,R,116,0.0071255146046529,0.460057577630494,global
sub-EN057,15,R,117,0.0231274739186601,0.4391055929765233,global
sub-EN057,15,R,118,0.0201081607760267,0.6325387379857301,global
sub-EN057,15,R,119,0.0354733482072026,0.5363744267614059,global
sub-EN057,16,L,0,-436.9758978338034,0.6774871121619845,global
sub-EN057,16,L,1,-0.3575247573718667,0.0808940429343852,global
sub-EN057,16,L,2,-8.956623216876148,0.6823243729382336,global
sub-EN057,16,L,3,-26.11598342862492,0.6822562723940154,global
sub-EN057,16,L,4,-2.4066139677070453,0.4513666598886785,global
sub-EN057,16,L,5,-0.2687754209792036,0.1773608536237929,global
sub-EN057,16,L,6,-2.089885012933,0.6886269107248009,global
sub-EN057,16,L,7,-0.4589756450330444,0.3595421472688065,global
sub-EN057,16,L,8,-4.544392640672453,0.6787081989325157,global
sub-EN057,16,L,9,0.0323696083115698,0.92449125007885,global
sub-EN057,16,L,10,-0.9044294408658976,0.687914603556126,global
sub-EN057,16,L,11,-2.775787002853632,0.6790562933655446,global
sub-EN057,16,L,12,-0.8478706829910512,0.7029729465559273,global
sub-EN057,16,L,13,-1.24194823484332,0.6680350713869065,global
