subject,run,hemi,mode_k,beta,p,metric
sub-EN057,16,L,5,-0.2685232730854522,0.1777689500990039,path
sub-EN057,16,L,6,-1.3773188692474314,0.7917258874435957,path
sub-EN057,16,L,7,-0.3499319981731872,0.4849567323488373,path
sub-EN057,16,L,8,-3.1184804696002035,0.77623298487308,path
sub-EN057,16,L,9,0.0591000476470827,0.8626141887570179,path
sub-EN057,16,L,10,-0.6102376752425819,0.7863859316099202,path
sub-EN057,16,L,11,-1.9106828700087637,0.7758128796962614,path
sub-EN057,16,L,12,-0.5512236264598565,0.8042250847125179,path
sub-EN057,16,L,13,-0.9027634648783316,0.7552663975945187,path
sub-EN057,16,L,14,-2.0445233421017632,0.7716652265183394,path
sub-EN057,16,L,15,-0.6688161911460321,0.7763739264896568,path
sub-EN057,16,L,16,-0.1238408491938303,0.2189701917275406,path
sub-EN057,16,L,17,-0.840076696628233,0.6693127549958608,path
sub-EN057,16,L,18,-0.4200286650266602,0.4454391334274279,path
sub-EN057,16,L,19,-0.8282577638676247,0.7801765832423184,path
sub-EN057,16,L,20,-0.3222367332279297,0.7191459902600326,path
sub-EN057,16,L,21,-0.0948166697458258,0.845990147327611,path
sub-EN057,16,L,22,-0.2897266544578213,0.641255841963698,path
sub-EN057,16,L,23,0.0049487104193102,0.92232697431795,path
sub-EN057,16,L,24,-0.1228818727267666,0.3971363974806047,path
sub-EN057,16,L,25,0.1244202399021673,0.3009711864675822,path
sub-EN057,16,L,26,-0.5400585208010633,0.7134572414132101,path
sub-EN057,16,L,27,-0.0642099843289336,0.6599329156129324,path
sub-EN057,16,L,28,-0.1107316341668318,0.77413086231005,path
sub-EN057,16,L,29,-0.0395418522720638,0.639510349758948,path
sub-EN057,16,L,30,0.0166921409104298,0.7906767082546575,path
sub-EN057,16,L,31,0.0039627655251337,0.9471067619275392,path
sub-EN057,16,L,32,-0.3151374133833069,0.6449565617554239,path
sub-EN057,16,L,33,-0.6613338483225851,0.7769672809835968,path
sub-EN057,16,L,34,-0.096050685558568,0.7623484061625885,path
sub-EN057,16,L,35,-0.1545180958366335,0.0017068640782557,path
sub-EN057,16,L,36,-0.788874967546915,0.7237625140143302,path
sub-EN057,16,L,37,0.0109814562391942,0.6932879743627328,path
sub-EN057,16,L,38,-0.2427327450698311,0.7896325161404162,path
sub-EN057,16,L,39,-0.1767139191736072,0.7423577740931203,path
sub-EN057,16,L,40,-0.0860480294153318,0.210811435266036,path
