mode_k,beta_mean,beta_sem,N_subj,t,p,lam,sig_q05
48,-9.612673682769847,0.1908114561279644,49,-50.37786450475632,3.235582920424764e-43,0.0091615673154592,1
49,-0.8354199342136468,0.026233904502139468,49,-31.845047470745936,6.172206056891881e-34,0.0093336086720228,1
50,-0.059355197827811894,0.007606224225346946,49,-7.803503560941171,4.3681375128025103e-10,0.0094550773501396,1
51,-0.8482439537106057,0.033328601096071594,49,-25.450931806753427,1.602701909079427e-29,0.0096245910972356,1
52,-0.15236326670048514,0.017741614747491145,49,-8.587903010464757,2.8892032537726958e-11,0.0098703932017087,1
53,-1.3165335321549747,0.05409867343088544,49,-24.335782167319344,1.1830404482670103e-28,0.0100258029997348,1
54,-0.4954435607350257,0.02669142116814254,49,-18.561902628338157,1.5227923968003323e-23,0.0101064685732126,1
55,-0.3644478005906706,0.023026968181305695,49,-15.826998922356848,1.1138230138290347e-20,0.0102680269628763,1
56,-0.28296497234898754,0.01753385713665686,49,-16.138204511625204,5.056376496090293e-21,0.0104580484330654,1
57,-0.11924306999246913,0.011394135936975486,49,-10.465301682553173,5.595152094794972e-14,0.0108443927019834,1
58,-0.5360289382325641,0.029455623070654413,49,-18.197847553480905,3.509161001648037e-23,0.0109784808009862,1
59,-0.7363192420352617,0.02502570357302858,49,-29.422519126648204,2.2960092499832797e-32,0.0112018398940563,1
60,-1.303205585051808,0.04856012128789001,49,-26.836950783662957,1.481152251118212e-30,0.0112499464303255,1
61,-0.20209785775758343,0.016679343425763337,49,-12.116655470107892,3.285704811720716e-16,0.0114265698939561,1
62,-2.5075301893519146,0.06980578538549645,49,-35.92152391817232,2.3918679210654286e-36,0.0116981286555528,1
63,-3.2300589524475853,0.06503143361315829,49,-49.669194925975376,6.307122472418568e-43,0.0118494983762502,1
64,-0.48651112887574344,0.02550816170120777,49,-19.072763242390295,4.818389046823013e-24,0.0121008921414613,1
65,-0.318908609892365,0.019895244102653694,49,-16.029389146817653,6.65640283301864e-21,0.0122096873819828,1
66,-0.46807375214221475,0.023365822195742368,49,-20.03241093855047,5.909248892157977e-25,0.012521605938673,1
