subject,run,hemi,mode_k,beta,p,source_file
sub-EN057,15,R,59,-0.699163845310932,0.0068963057507239,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_R_run-15.csv
sub-EN057,15,R,60,-1.3102665484631355,0.0106458115562771,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_R_run-15.csv
sub-EN057,15,R,61,-0.0058869504998141,0.6979571972394172,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_R_run-15.csv
sub-EN057,15,R,62,-1.852488331114864,0.0101933325029482,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_R_run-15.csv
sub-EN057,15,R,63,-1.6621673081509185,0.0101972564318496,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_R_run-15.csv
sub-EN057,15,R,64,-0.7678009482189193,0.0083250285263528,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_R_run-15.csv
sub-EN057,15,R,65,0.0047010674939154,0.8645836059476911,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_R_run-15.csv
sub-EN057,15,R,66,-0.9646934635736124,0.0160278972802664,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_R_run-15.csv
sub-EN057,15,R,67,-1.5361551373859603,0.0096362564147118,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_R_run-15.csv
sub-EN057,15,R,68,-1.1903677236150711,0.0113015576129665,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_R_run-15.csv
sub-EN057,15,R,69,0.02642595669332,0.1557108084709958,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_R_run-15.csv
sub-EN057,15,R,70,-1.9035301286934343,0.0112235184189665,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_R_run-15.csv
sub-EN057,15,R,71,-0.0169100562601481,0.304099684656792,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_R_run-15.csv
sub-EN057,15,R,72,-2.3648631319074225,0.0097717748197535,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_R_run-15.csv
sub-EN057,15,R,73,-0.0516128187353629,0.1981605528461375,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_R_run-15.csv
sub-EN057,15,R,74,-0.1629574395850206,0.0103434576655663,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_R_run-15.csv
sub-EN057,15,R,75,-1.8768966369493785,0.0112129403206824,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_R_run-15.csv
sub-EN057,15,R,76,-0.273190645332342,0.0065246840715862,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_R_run-15.csv
sub-EN057,15,R,77,-0.4204935647252492,0.0129276308058386,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_R_run-15.csv
sub-EN057,15,R,78,-0.5488422220893786,0.0110174627719772,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_R_run-15.csv
sub-EN057,15,R,79,-2.501085635685578,0.0101191637655162,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_R_run-15.csv
sub-EN057,15,R,80,-0.1380585803671204,0.03599286964698,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_R_run-15.csv
sub-EN057,15,R,81,-0.2329746588434169,0.0143872026027403,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_R_run-15.csv
