mode_k,beta_mean,beta_sem,N_subj,t,p,lam,sig_q05
38,-2.52985001130987,0.07636688344295364,49,-33.127579616361814,1.0056788749173565e-34,0.0072302352637052,1
39,-4.018343768733652,0.10182047767562614,49,-39.46498641987383,3.024267448569707e-38,0.0074026435613632,1
40,-0.13675772382840656,0.012879552674650475,49,-10.618204473636187,3.426570773431783e-14,0.0074999053031206,1
41,-5.219460357635521,0.11663258626906992,49,-44.75130428467299,8.4768981468709e-41,0.0076058097183704,1
42,-0.33418557766821483,0.02577021548210095,49,-12.967900012335091,2.6669045062222344e-17,0.0078272670507431,1
43,-0.5414541930632765,0.026272922894044946,49,-20.608829677873533,1.7399662245996025e-25,0.0081295762211084,1
44,-0.10474126309297246,0.012748550861931746,49,-8.215934832698418,1.040864624629908e-10,0.008332522585988,1
45,-1.8571638389888798,0.052075513195930845,49,-35.66290037318341,3.342213565896092e-36,0.0084747318178415,1
46,-0.087229908017455,0.012944602728144383,49,-6.738708776886463,1.8503222945029483e-08,0.0086999479681253,1
47,-1.91117556636143,0.05862424014192099,49,-32.60043220576922,2.103285250950201e-34,0.0089640468358993,1
48,-2.3792357612787938,0.07348668644664703,49,-32.37641913554195,2.887411554419173e-34,0.0091615673154592,1
49,-3.5596288958707794,0.06778255684758555,49,-52.51541194993408,4.558560120067653e-44,0.0093336086720228,1
50,-0.6197638254724749,0.025985020390957177,49,-23.850811588670275,2.8920700664648637e-28,0.0094550773501396,1
51,-0.42740003453651493,0.0204853069304223,49,-20.863735944409605,1.0221232946217025e-25,0.0096245910972356,1
52,-0.11347487024961206,0.011991999149592536,49,-9.462548223535165,1.497021576913888e-12,0.0098703932017087,1
53,-0.10852790805085574,0.014734463377995038,49,-7.365582666073548,2.027625451835986e-09,0.0100258029997348,1
54,-0.34398933070407506,0.021858479533832888,49,-15.737111548479076,1.40198480396927e-20,0.0101064685732126,1
55,-0.048773736452457715,0.005679266687019626,49,-8.588034184753747,2.887904079269627e-11,0.0102680269628763,1
56,-0.3336098085935448,0.016312165045039885,49,-20.451595951390097,2.4221263370826717e-25,0.0104580484330654,1
57,-0.0904713225634976,0.009282682631175767,49,-9.746247518971602,5.835605021621566e-13,0.0108443927019834,1
58,-0.39721858499247775,0.024283588064366913,49,-16.357491485179064,2.9168651411083512e-21,0.0109784808009862,1
59,-0.7862884679082688,0.02962123619234383,49,-26.544755350605516,2.4249001476780243e-30,0.0112018398940563,1
60,-1.9491417914055111,0.057868313485849476,49,-33.68236732667411,4.6798814316974217e-35,0.0112499464303255,1
61,-0.0646616883555965,0.009764931163209103,49,-6.621827361079561,2.7964678906012638e-08,0.0114265698939561,1
62,-1.9407482857089882,0.05126122407994865,49,-37.859967656685974,2.088017476771292e-37,0.0116981286555528,1
63,-2.201888358778,0.05781799319796214,49,-38.083098997209895,1.5889270430552307e-37,0.0118494983762502,1
64,-0.4661028111034139,0.02648692438523545,49,-17.59746825732748,1.4295395402600906e-22,0.0121008921414613,1
65,-0.034706203501792605,0.007669107217051556,49,-4.525455508644677,3.97205445594416e-05,0.0122096873819828,1
66,-1.3116890118384674,0.04607261262028419,49,-28.470037561120975,1.0245607392277725e-31,0.012521605938673,1
67,-1.6475643579062782,0.05533123157154396,49,-29.776390496133406,1.3317891228301984e-32,0.0128279495984315,1
68,-1.1444741030063765,0.03638921701590705,49,-31.450913123689507,1.0924935020085242e-33,0.0129549652338027,1
69,-0.023084194479637672,0.003873466787460769,49,-5.959569488078766,2.890186627085696e-07,0.0130439344793558,1
70,-1.2864291345513255,0.04952557917788584,49,-25.975044732555936,6.428642386605604e-30,0.0131426770240068,1
71,-0.02717520968051271,0.004662238522001717,49,-5.828790087051385,4.5734736730512417e-07,0.0135406553745269,1
72,-2.204043581682811,0.04644084920962862,49,-47.459157599250894,5.3714223148312084e-42,0.0137549825012683,1
73,-0.05377696395118094,0.0068789942421901016,49,-7.8175619949435635,4.158876204441396e-10,0.0138666797429323,1
74,-0.16395500036520544,0.012151307311773666,49,-13.492786920658805,5.9350731082885275e-18,0.0139644090086221,1
75,-1.5690084327466287,0.04557874608512721,49,-34.42412456490574,1.7132965453488917e-35,0.0142714828252792,1
76,-0.2238395518925787,0.014886483158273664,49,-15.03642932401884,8.694213623460878e-20,0.0145824085921049,1
77,-0.4304040354204493,0.025869294724420688,49,-16.637640879097745,1.455246731737748e-21,0.0147327147424221,1
78,-0.45826519550397465,0.023700498623023983,49,-19.335677396204243,2.6897979473521458e-24,0.0147609356790781,1
79,-2.1328497755855316,0.055439321747171325,49,-38.47178696219088,9.908349697198474e-38,0.0149750523269176,1
80,-0.2587252122443021,0.015369431293371122,49,-16.83375313671437,8.988462042044784e-22,0.0150899533182382,1
81,-0.19908422443301094,0.011882920678629536,49,-16.75381245210596,1.093378536403434e-21,0.0154220629483461,1
82,-0.3351270862310035,0.016990080987693473,49,-19.724866907564955,1.1476533305113428e-24,0.0154968649148941,1
83,-0.21338218173404047,0.021038578032100175,49,-10.142424141425666,1.5909431963197345e-13,0.0157812219113111,1
84,-1.3022403294087925,0.0392811820950126,49,-33.15176020566177,9.724628963303956e-35,0.0159307047724723,1
85,-0.374199140006189,0.020737077075449594,49,-18.044931725175456,5.001783153761427e-23,0.0159959252923727,1
86,-0.034065133629250025,0.0050609285657938815,49,-6.731004634108367,1.9013821993396055e-08,0.0163249354809522,1
87,-0.050155322686602506,0.006403250574059637,49,-7.832790878087443,3.943547784851536e-10,0.0165493730455636,1
88,-1.4469819487619817,0.04197680054132236,49,-34.47099183601569,1.6089819660648697e-35,0.0166782364249229,1
89,-0.09933894894686775,0.009807260497807337,49,-10.129123109259462,1.661386650424625e-13,0.0169897153973579,1
90,-0.13211810817523426,0.010158113933994253,49,-13.006165222571427,2.387394503342294e-17,0.0170869976282119,1
91,-0.3525013566266004,0.01970753816641383,49,-17.886625597272403,7.236100921781122e-23,0.0171879101544618,1
92,-0.10033992039150418,0.012973818159650947,49,-7.734031659512927,5.568473976292386e-10,0.0173780377954244,1
93,-0.7770068331837366,0.03367495649532669,49,-23.073729383780123,1.2514363755537012e-27,0.0176062751561403,1
94,-0.4099351004490986,0.02346631919305504,49,-17.469083969948755,1.939249269290965e-22,0.017727717757225,1
95,-0.3529766205601502,0.020215844794202523,49,-17.460394267637852,1.9798099820961853e-22,0.0180606748908758,1
96,-0.02799799927512794,0.006174304643560765,49,-4.534599585125314,3.853603057565726e-05,0.0183309633284807,1
97,-0.0423203003452629,0.0056924477487275745,49,-7.4344644366253005,1.5915740825169035e-09,0.0185584239661693,1
98,-0.1290757820713177,0.022335714908090543,49,-5.77889638198074,5.446930399990749e-07,0.0187302939593791,1
99,-0.3125905586517456,0.015103559284364977,49,-20.696483045247195,1.448229498867514e-25,0.0188728664070367,1
100,-0.09325199529527511,0.00999358633281217,49,-9.33118424054623,2.3229113377954063e-12,0.0190864745527505,1
101,-0.5142036988867984,0.02024823802214375,49,-25.39498490310407,1.7685589717063742e-29,0.019279059022665,1
102,-0.05764989604581368,0.00613473079729307,49,-9.397298422817755,1.861646065481175e-12,0.0194607581943273,1
103,-0.247877368985801,0.012333227428490051,49,-20.098337634899877,5.130867456518713e-25,0.0196548048406839,1
104,-0.037972364275928316,0.006807382284162826,49,-5.578115447441507,1.098246694589275e-06,0.0198375191539526,1
105,-0.05949890367648659,0.004503406009271222,49,-13.211978567776347,1.3203241118570978e-17,0.0199899114668369,1
106,-0.025517006556390154,0.00525619588225125,49,-4.854652894987071,1.3201342461213077e-05,0.0203421004116535,1
107,-0.05952626569783318,0.006319763145051426,49,-9.419065925665922,1.730979910446407e-12,0.0204064417630434,1
108,-0.20220258329662344,0.01443079071963123,49,-14.011885226881773,1.3889112302648482e-18,0.0205841325223445,1
109,-0.03623224151427796,0.004795444160769806,49,-7.555554876581369,1.0404142273262193e-09,0.0207765027880668,1
110,-1.1973350354202512,0.0432772527645973,49,-27.666613727378838,3.7469633653886256e-31,0.0210340023040771,1
111,-3.1742118132640194,0.07592500422226216,49,-41.80719969368538,2.0514334539732084e-39,0.0211396422237157,1
112,-0.4480413188085367,0.01878027775247424,49,-23.857012378291834,2.858926870001489e-28,0.0213069375604391,1
113,-0.056577973649290056,0.0069549525528560694,49,-8.13491870998547,1.3781921805704335e-10,0.0215043816715478,1
114,-0.043783195174586384,0.005399817987713807,49,-8.108272403663639,1.511673041379645e-10,0.0218461286276578,1
115,-0.08495644083221669,0.007406506588444086,49,-11.470514448035324,2.3523483819341177e-15,0.0219429824501276,1
116,-0.04064478714371493,0.004431161050218955,49,-9.17249151702725,3.9595320244885614e-12,0.0221266504377126,1
117,-0.057193053892125575,0.008332062731103733,49,-6.864213069186689,1.1876571995434585e-08,0.0223625842481851,1
118,-0.10443390458563381,0.010197179376473733,49,-10.241450182447208,1.1530974408368298e-13,0.0224539022892713,1
119,-0.11114386789529283,0.009717519156837938,49,-11.437473505476355,2.605227949521715e-15,0.0227182861417531,1
