subject,run,hemi,mode_k,beta,p,metric
sub-EN057,15,L,85,-0.0178437609923716,0.6147045803650213,chord
sub-EN057,15,L,86,0.2119491924293224,0.2662663937793796,chord
sub-EN057,15,L,87,0.0458924801363339,0.0113399894788248,chord
sub-EN057,15,L,88,0.2934745866053152,0.2306527529517675,chord
sub-EN057,15,L,89,0.0212863739930299,0.5312588510247993,chord
sub-EN057,15,L,90,0.1291585126154059,0.2862111724974367,chord
sub-EN057,15,L,91,0.0598017872859058,0.2527144670600723,chord
sub-EN057,15,L,92,0.0790274972035383,0.2576508042143873,chord
sub-EN057,15,L,93,0.5041072825998605,0.1928732041809889,chord
sub-EN057,15,L,94,0.040882988990961,0.3391511557320915,chord
sub-EN057,15,L,95,0.0208560351163096,0.1061474631218971,chord
sub-EN057,15,L,96,0.3067755697782123,0.2637689409159625,chord
sub-EN057,15,L,97,0.3116217934436976,0.2549346168555331,chord
sub-EN057,15,L,98,0.2120996280020752,0.1776782159047434,chord
sub-EN057,15,L,99,0.0739656760905002,0.2704024233128212,chord
sub-EN057,15,L,100,0.0786027401164389,0.1890489299536251,chord
sub-EN057,15,L,101,0.6885817090291001,0.2237217504179559,chord
sub-EN057,15,L,102,0.1926626018924999,0.2576052414240527,chord
sub-EN057,15,L,103,0.1064910357689982,0.2202992712438701,chord
sub-EN057,15,L,104,0.0292264145410425,0.2250608423691251,chord
sub-EN057,15,L,105,0.3359204834427534,0.2356112238042336,chord
sub-EN057,15,L,106,0.1282811323772304,0.2592376875031295,chord
sub-EN057,15,L,107,0.0138528541592847,0.623779503407955,chord
sub-EN057,15,L,108,0.1064005681521882,0.2855100182839865,chord
sub-EN057,15,L,109,0.0156181754570151,0.4900643159338346,chord
sub-EN057,15,L,110,0.0184397301316294,0.0652932645893244,chord
sub-EN057,15,L,111,0.5679002212236056,0.2048132475679187,chord
sub-EN057,15,L,112,0.8172437119304417,0.2069726036186375,chord
sub-EN057,15,L,113,0.0490085534271668,0.1999362027534998,chord
sub-EN057,15,L,114,0.0016840635838391,0.865522874838596,chord
sub-EN057,15,L,115,0.0513734889751988,0.2504085329489386,chord
sub-EN057,15,L,116,-0.0034234250849652,0.7942387404123479,chord
sub-EN057,15,L,117,0.0986694281474983,0.2166612541224695,chord
sub-EN057,15,L,118,0.0186956336465269,0.1614506464944567,chord
sub-EN057,15,L,119,0.3335503756495596,0.1897767454313353,chord
sub-EN057,15,R,0,1409.446682222677,0.2121688821682767,chord
sub-EN057,15,R,1,-0.3404201042109505,0.1520753483124876,chord
sub-EN057,15,R,2,12.700025132057275,0.2193026360946436,chord
sub-EN057,15,R,3,102.49288651573389,0.2138984096867466,chord
sub-EN057,15,R,4,6.041587277871041,0.2074917424538225,chord
sub-EN057,15,R,5,-0.0656120685378091,0.2540697479193324,chord
sub-EN057,15,R,6,15.300502996682084,0.2123228378219172,chord
sub-EN057,15,R,7,0.2511973417288594,0.4810899970581517,chord
sub-EN057,15,R,8,15.061702658396932,0.2083048347151582,chord
sub-EN057,15,R,9,0.1095620770859776,0.4182315706986815,chord
sub-EN057,15,R,10,2.520608246895784,0.2501953532855561,chord
sub-EN057,15,R,11,12.143615846435472,0.2061240492772005,chord
sub-EN057,15,R,12,3.8437079905140825,0.2203944993397517,chord
sub-EN057,15,R,13,2.215572797778446,0.2322370292538371,chord
sub-EN057,15,R,14,5.704907564885865,0.2239107005305815,chord
sub-EN057,15,R,15,1.868350756429737,0.2315946858687073,chord
sub-EN057,15,R,16,1.655853414986412,0.2014876333891631,chord
sub-EN057,15,R,17,7.326523132941793,0.2168022978033606,chord
sub-EN057,15,R,18,0.217037522532121,0.223915294642312,chord
sub-EN057,15,R,19,0.2395352376780687,0.5125236302539317,chord
sub-EN057,15,R,20,1.183032862162556,0.222023989332993,chord
sub-EN057,15,R,21,1.0172942097112236,0.2510126837885388,chord
