subject,run,hemi,mode_k,beta,p,source_file
sub-EN057,15,L,79,-0.1197186007746778,0.0460347844037158,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_L_run-15.csv
sub-EN057,15,L,80,-0.1339266688860111,0.0222055228952218,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_L_run-15.csv
sub-EN057,15,L,81,-0.2144643912715276,0.0079715449560096,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_L_run-15.csv
sub-EN057,15,L,82,-0.6987330754989646,0.0102510289219804,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_L_run-15.csv
sub-EN057,15,L,83,-0.4439787038580983,0.0100495465653076,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_L_run-15.csv
sub-EN057,15,L,84,-0.6479284488220614,0.0100383515562382,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_L_run-15.csv
sub-EN057,15,L,85,-0.0195376483415746,0.5815115382196347,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_L_run-15.csv
sub-EN057,15,L,86,-0.5071907630074678,0.0074915378938018,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_L_run-15.csv
sub-EN057,15,L,87,-0.0143233522425281,0.4317220939008444,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_L_run-15.csv
sub-EN057,15,L,88,-0.6246972744938126,0.0103745535132506,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_L_run-15.csv
sub-EN057,15,L,89,-0.0191799625116801,0.5726901749834881,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_L_run-15.csv
