mode_k,beta_mean,beta_sem,N_subj,t,p,lam,sig_q05
55,-0.04743130427618756,0.005792447693199308,49,-8.1884734724277,1.1447035882071852e-10,0.0102680269628763,1
56,-0.3307080934370085,0.016175131179669924,49,-20.44546592936856,2.453665308726352e-25,0.0104580484330654,1
57,-0.08848650891755612,0.008984562484105726,49,-9.848727645235313,4.161965743927027e-13,0.0108443927019834,1
58,-0.39106733174533165,0.02371853767467096,49,-16.487834836586604,2.1084581929756838e-21,0.0109784808009862,1
59,-0.7727737588626926,0.02923021119843908,49,-26.43750172095778,2.9093606517495024e-30,0.0112018398940563,1
60,-1.9175272040044515,0.05714199959858501,49,-33.557229664254436,5.555580387081212e-35,0.0112499464303255,1
61,-0.06425039501727522,0.009564071204551923,49,-6.717891747470042,1.9915513266939596e-08,0.0114265698939561,1
62,-1.9090126387607225,0.05035639956640601,49,-37.910030407223,1.9636353701763127e-37,0.0116981286555528,1
63,-2.1660374702533853,0.056881775729086884,49,-38.07963873296887,1.5956537831310795e-37,0.0118494983762502,1
64,-0.4612711079718684,0.02623677594385421,49,-17.581089572856534,1.4861144636132583e-22,0.0121008921414613,1
65,-0.03401391729221586,0.007682205200241375,49,-4.427624152912128,5.484503416496119e-05,0.0122096873819828,1
66,-1.2903193845374676,0.045379407386709494,49,-28.43402897578099,1.085108196381118e-31,0.012521605938673,1
67,-1.620135662771529,0.054306050892467324,49,-29.833428064574193,1.2205245673772607e-32,0.0128279495984315,1
68,-1.1271027703894272,0.03569044509890145,49,-31.579958368861014,9.05559912434848e-34,0.0129549652338027,1
69,-0.024488653115124142,0.0038514551258169924,49,-6.358285976376129,7.093920621226417e-08,0.0130439344793558,1
70,-1.2687514706613925,0.04857549149442104,49,-26.119168980659936,5.014669881067172e-30,0.0131426770240068,1
71,-0.026096737162854683,0.00442884036581653,49,-5.8924537818701275,3.6582897348600566e-07,0.0135406553745269,1
72,-2.1725178076913805,0.0459617306239873,49,-47.267972249886284,6.493940571332943e-42,0.0137549825012683,1
