transition_idx,prev_token_id,token_id,run_id,snt_prev,snt_cur,onset,word_prev,word_cur,same_run,boundary_flag,shift,entropy_prev,entropy_cur,entropy_change,id_prev,id_cur,id_change,pred_error_lin,pred_error_ar,pred_error_subspace,curvature
65,26,27,1,4,4,24.786, six, months,1,0,0.42166061502262464,1.3398034811530362,1.3371394893910489,0.0026639917619872833,3.6666592023694258,3.638517249686425,0.02814195268300068,0.6010869012790585,0.3784408563222579,0.7935456075206357,1.988419426421006
66,27,28,1,4,4,25.135, months, it,1,0,0.5192122681340801,1.3371394893910489,1.360220960907547,-0.023081471516498198,3.638517249686425,3.794883244494598,-0.15636599480817281,0.7192869186764106,0.37364310639177134,0.708236432919096,2.0631223919987347
67,28,29,1,4,4,25.226, it, takes,1,0,0.3797566440947665,1.360220960907547,1.363971445027004,-0.003750484119456887,3.794883244494598,3.831332596924004,-0.03644935242940628,0.5618557944217318,0.345802514337499,0.7536541114377785,2.0016535511486544
68,29,30,1,4,4,25.496, takes, for,1,0,0.47540312598587187,1.363971445027004,1.2985529785632568,0.06541846646374716,3.831332596924004,3.362502672804025,0.46882992411997915,0.70658398057418,0.37955375787830514,0.7624441255782407,2.1131993934228213
69,30,31,1,4,4,25.606, for, digestion,1,0,0.46104712074375,1.2985529785632568,1.324120898642299,-0.025567920079042183,3.362502672804025,3.525248433828409,-0.1627457610243841,0.6131103890210643,0.42006828859276224,0.823002316167807,1.9600319181456511
70,31,1,1,4,5,27.292, digestion, so,1,1,0.749011616467163,1.324120898642299,1.3380859626634614,-0.013965064021162377,3.525248433828409,3.647906165365557,-0.12265773153714798,0.8222835501211856,0.7515537400978309,1.1025837159120124,1.9292471399277915
71,1,2,1,5,5,27.777, so, i,1,0,0.5943213812437533,1.3380859626634614,1.3410195693592986,-0.0029336066958371987,3.647906165365557,3.667288326774028,-0.01938216140847082,0.7858548017660429,0.4881930737684729,0.858957454986882,2.1466183015604816
72,2,3,1,5,5,27.887, i, thought,1,0,0.4886427022523585,1.3410195693592986,1.3080267241290304,0.03299284523026813,3.667288326774028,3.437745955455204,0.22954237131882405,0.5633818380778374,0.4887363300201626,0.8698801315883897,1.8560458740241557
73,3,4,1,5,5,28.167, thought, a,1,0,0.4459998783773669,1.3080267241290304,1.353931544085842,-0.045904819956811505,3.437745955455204,3.7616091387615587,-0.3238631833063548,0.6746561259387444,0.3846723943723722,0.7742230669054595,2.1150231915891387
74,4,5,1,5,5,28.266, a, lot,1,0,0.340134863749868,1.353931544085842,1.328372809823021,0.02555873426282096,3.7616091387615587,3.576704211800912,0.18490492696064686,0.5224793609022657,0.32386520073579195,0.7265368984554607,1.978837778002262
75,5,6,1,5,5,28.487, lot, about,1,0,0.448940027683839,1.328372809823021,1.2806475954125112,0.04772521441050981,3.576704211800912,3.2692314069807287,0.30747280482018313,0.6071195260314568,0.38214084206497534,0.8001597277878083,1.9476062615952983
76,6,7,1,5,5,28.737, about, the,1,0,0.3306926792404712,1.2806475954125112,1.2532322179917006,0.02741537742081057,3.2692314069807287,3.126881563393066,0.14234984358766267,0.45202708166409766,0.3412142969036701,0.7302346766735124,1.8360343675206012
77,7,8,1,5,5,28.854, the, adventures,1,0,0.3725034974698834,1.2532322179917006,1.1904465559524815,0.06278566203921909,3.126881563393066,2.942042843691886,0.18483871970118004,0.47449802339422364,0.3959197510393707,0.8091103620573233,1.7967911296043424
78,8,9,1,5,5,29.387, adventures, of,1,0,0.33410332781072005,1.1904465559524815,1.1647831560888566,0.02566339986362487,2.942042843691886,2.737879159528574,0.2041636841633121,0.6431660782073162,0.22453085479549706,0.5949942318168284,2.3099748120082344
79,9,10,1,5,5,29.474, of, the,1,0,0.1485688694748426,1.1647831560888566,1.2204884008717554,-0.05570524478289873,2.737879159528574,3.0789335663223634,-0.3410544067937895,0.30144805523479123,0.11458127875305057,0.39219727087852974,1.8382873683721392
80,10,11,1,5,5,29.587, the, jungle,1,0,0.49188921678685593,1.2204884008717554,1.2000759302779844,0.020412470593770937,3.0789335663223634,2.9734061855495573,0.1055273807728061,0.5418674709763549,0.4413997452901265,0.8488561392285193,1.715980394180156
