boundary_idx,run_id,prev_sentence_id,cur_sentence_id,boundary_onset,pre_window_size,post_window_size,pre_entropy,post_entropy,pre_id,post_id,entropy_post_minus_pre,id_post_minus_pre
1782,2,148,149,100.798,4,4,1.069327099097328,1.0434031225308649,2.838260088425411,2.704584717203608,-0.02592397656646317,-0.13367537122180284
1788,2,149,150,102.267,4,4,1.0875011403347687,1.0785376098621406,2.9344504055402627,2.881884791648412,-0.0089635304726281,-0.05256561389185066
1793,2,150,151,103.631,4,4,1.0938322851724747,1.0042376565196582,2.971552617519777,2.5360559389511925,-0.08959462865281642,-0.43549667856858454
1800,2,151,152,105.804,4,4,1.0696882887075507,1.0538761237786136,2.834643012149327,2.753553308111674,-0.01581216492893711,-0.08108970403765303
1808,2,152,153,108.771,4,4,1.0824463523627295,1.0894086551358202,2.9048538068613925,2.9442571983839647,0.006962302773090734,0.03940339152257222
1843,2,153,154,119.615,4,4,1.072114740767427,1.0462378187935013,2.8459373847023115,2.7166063581722057,-0.02587692197392566,-0.12933102653010575
1862,2,154,155,126.798,4,4,1.0879668661628377,1.063157413942393,2.9360668084325057,2.7962152059126435,-0.024809452220444728,-0.13985160251986217
1882,2,155,156,132.219,4,4,1.0386405524237616,0.9993130907833813,2.6745149368879844,2.547686481982131,-0.03932746164038037,-0.12682845490585315
1889,2,156,157,134.508,4,4,1.0745270723836193,1.0720889858539766,2.8569212218001474,2.842971286135148,-0.0024380865296427245,-0.013949935664999469
1898,2,157,158,137.91,4,4,1.052870959842652,1.0786616633161663,2.7477124962532247,2.89022705668108,0.02579070347351431,0.14251456042785549
1909,2,158,159,141.288,4,4,1.017910126222419,1.0449805448824647,2.598316156505988,2.7031607383579135,0.02707041866004567,0.10484458185192569
1939,2,159,160,150.913,4,4,1.0653752046478138,1.0878281987167737,2.806747891001595,2.935834945740517,0.022452994068959953,0.129087054738922
1943,2,160,161,151.862,4,4,1.0878281987167737,1.0422199398969645,2.935834945740517,2.6841482992535854,-0.04560825881980923,-0.2516866464869314
1947,2,161,162,153.125,4,4,1.0422199398969645,0.9975162336975281,2.6841482992535854,2.5303309545501227,-0.04470370619943642,-0.15381734470346276
1954,2,162,163,156.003,4,4,1.0624152188377751,1.08078001230573,2.7960464401789014,2.896982946189805,0.018364793467954943,0.10093650601090376
1970,2,163,164,161.549,4,4,1.0313615667666762,1.0566736855510175,2.646634394528159,2.7697347738644056,0.025312118784341253,0.1231003793362464
1986,2,164,165,165.257,4,4,1.052521192895441,1.031411381119085,2.7554429979863304,2.64696895750131,-0.021109811776355958,-0.1084740404850204
2016,2,165,166,173.566,4,4,1.069133708212371,1.0011355370074444,2.834997549221043,2.529926419779563,-0.06799817120492668,-0.30507112944148007
2028,2,166,167,178.088,4,4,1.0347794162657238,1.0178851887706515,2.644208928043093,2.5922055863643196,-0.0168942274950723,-0.052003341678773296
2039,2,167,168,180.856,4,4,0.9719926838559715,1.059077188276476,2.4437663540780177,2.769601880812886,0.08708450442050453,0.32583552673486826
2048,2,168,169,184.109,4,4,1.0487344626462263,1.0716455786736883,2.7140198058943326,2.8552287730557335,0.022911116027461986,0.14120896716140097
2061,2,169,170,188.496,4,4,1.065355292327291,1.0898773681692377,2.8106735383533707,2.9499499400702187,0.024522075841946656,0.13927640171684796
2076,2,170,171,192.548,4,4,0.995207164271029,1.0257411860614292,2.5089664007495003,2.5984106545060754,0.030534021790400212,0.08944425375657516
2083,2,171,172,194.506,4,4,1.056868318784035,1.0406221730198133,2.7789313701464606,2.6726028118525234,-0.016246145764221787,-0.10632855829393728
2106,2,172,173,202.765,4,4,1.034010548774043,1.0657002061803151,2.651054817074888,2.822024418776503,0.031689657406272165,0.17096960170161513
2121,2,173,174,207.352,4,4,0.9889546323852056,1.0954297785284122,2.4320882454861636,2.980873712113679,0.10647514614320652,0.5487854666275154
2151,2,174,175,215.766,4,4,0.9396342697756686,1.0611772918145403,2.310005344291626,2.805950013290584,0.1215430220388718,0.4959446689989577
2173,2,175,176,222.441,4,4,1.068465417126136,1.0833537551985066,2.8283108765188487,2.909385529276616,0.014888338072370555,0.08107465275776748
2177,2,176,177,224.345,4,4,1.0833537551985066,1.021565690385156,2.909385529276616,2.592464588618589,-0.06178806481335064,-0.3169209406580271
2184,2,177,178,226.997,4,4,1.0479330975240295,1.0768992204501906,2.717047381485839,2.8770040029114208,0.028966122926161075,0.15995662142558187
2192,2,178,179,229.66,4,4,1.0704653901458265,1.0476310797613726,2.842152527304611,2.7318394744957795,-0.022834310384453937,-0.11031305280883164
2199,2,179,180,231.668,4,4,1.079445983748951,1.0794648577108608,2.8923442140005027,2.891693564192779,1.8873961909804393e-05,-0.0006506498077238909
