subject,run,hemi,mode_k,model,beta_boundary,p_boundary,beta_wordrate,p_wordrate,beta_content_density,p_content_density,beta,p,metric,control_model
sub-EN106,10,L,14,boundary_plus_wordrate_content,-9.857661927155691,0.1415909307721904,4.02853868555879,0.5365700948061509,-15.70528326760431,0.0195323713921006,-9.857661927155691,0.1415909307721904,boundary,boundary_plus_wordrate_content
sub-EN106,10,L,15,boundary_plus_wordrate_content,-2.762575523420755,0.1006951151795312,1.0142345493806622,0.5350417165945056,-4.370009621626512,0.009668045930551,-2.762575523420755,0.1006951151795312,boundary,boundary_plus_wordrate_content
sub-EN106,10,L,16,boundary_plus_wordrate_content,-0.1446784829751298,0.2154873494309039,0.0627925477731098,0.5804205350204661,0.0993147164594655,0.3946473342355786,-0.1446784829751298,0.2154873494309039,boundary,boundary_plus_wordrate_content
sub-EN106,10,L,17,boundary_plus_wordrate_content,-3.34841173443325,0.1290195957606388,1.398122896920053,0.5143024696211975,-5.392064252089544,0.0148207866923883,-3.34841173443325,0.1290195957606388,boundary,boundary_plus_wordrate_content
sub-EN106,10,L,18,boundary_plus_wordrate_content,-0.5007492713116614,0.0342774429587148,-0.2223848006391982,0.3326378837505312,-0.4481627122220264,0.0578551144939645,-0.5007492713116614,0.0342774429587148,boundary,boundary_plus_wordrate_content
sub-EN106,10,L,19,boundary_plus_wordrate_content,-2.493362427429552,0.2286499020970736,1.284628353068257,0.5236963101479344,-3.991015494551385,0.0544259959687153,-2.493362427429552,0.2286499020970736,boundary,boundary_plus_wordrate_content
sub-EN106,10,L,20,boundary_plus_wordrate_content,-1.3572977590514048,0.1404045802214082,0.6218207828215945,0.4871705363202034,-2.1502741128036145,0.0198541495961949,-1.3572977590514048,0.1404045802214082,boundary,boundary_plus_wordrate_content
sub-EN106,10,L,21,boundary_plus_wordrate_content,-0.534555162711279,0.1624059506638167,0.2977946434805259,0.4235217208765156,-0.894093121247075,0.0198258361511862,-0.534555162711279,0.1624059506638167,boundary,boundary_plus_wordrate_content
sub-EN106,10,L,22,boundary_plus_wordrate_content,-0.6906567909029164,0.0754798282846395,0.3577235868071505,0.343313798499952,-0.9017432505356372,0.0205215281225099,-0.6906567909029164,0.0754798282846395,boundary,boundary_plus_wordrate_content
sub-EN106,10,L,23,boundary_plus_wordrate_content,0.0410904481984038,0.6936459962023399,-0.0791409508066897,0.436064166947396,0.2457146144060622,0.0190670779865907,0.0410904481984038,0.6936459962023399,boundary,boundary_plus_wordrate_content
sub-EN106,10,L,24,boundary_plus_wordrate_content,0.3049992923673364,0.1698185621301158,-0.1382887892429561,0.522059051975329,0.9227392635902588,4.222181498967271e-05,0.3049992923673364,0.1698185621301158,boundary,boundary_plus_wordrate_content
sub-EN106,10,L,25,boundary_plus_wordrate_content,-0.5890694130355667,0.1581472701081124,0.2876377027176094,0.4784509549370728,-1.114556457630455,0.0078566859286048,-0.5890694130355667,0.1581472701081124,boundary,boundary_plus_wordrate_content
sub-EN106,10,L,26,boundary_plus_wordrate_content,-1.1673508254513068,0.1657685036030153,0.4227288988944785,0.6056597815294387,-1.111415302007522,0.1867623403213973,-1.1673508254513068,0.1657685036030153,boundary,boundary_plus_wordrate_content
sub-EN106,10,L,27,boundary_plus_wordrate_content,-0.2427239272132506,0.3374059706929022,0.1646444314078583,0.5037405386509555,-0.2494937827494706,0.323956187828472,-0.2427239272132506,0.3374059706929022,boundary,boundary_plus_wordrate_content
sub-EN106,10,L,28,boundary_plus_wordrate_content,-0.7391462240974888,0.1699051389041578,0.383633465855961,0.4638149043414985,-1.27127469362417,0.0186173819828448,-0.7391462240974888,0.1699051389041578,boundary,boundary_plus_wordrate_content
sub-EN106,10,L,29,boundary_plus_wordrate_content,-0.3188061668498977,0.0782881309664951,0.1167041849175527,0.50690159988996,-0.5856669361278642,0.0013132664396425,-0.3188061668498977,0.0782881309664951,boundary,boundary_plus_wordrate_content
sub-EN106,10,L,30,boundary_plus_wordrate_content,0.0454947730129216,0.7527359669004549,0.0764576530996348,0.5866803322483156,-0.2954022031695817,0.0415241442971144,0.0454947730129216,0.7527359669004549,boundary,boundary_plus_wordrate_content
sub-EN106,10,L,31,boundary_plus_wordrate_content,-0.9607334523051432,0.1305629559365475,0.4054934780123452,0.5114712254184443,-1.5111850396709698,0.0177263820395222,-0.9607334523051432,0.1305629559365475,boundary,boundary_plus_wordrate_content
sub-EN106,10,L,32,boundary_plus_wordrate_content,-0.913578117408042,0.1958111600568297,0.2999875408501921,0.662199547173828,-1.3608051619409098,0.0543879634460065,-0.913578117408042,0.1958111600568297,boundary,boundary_plus_wordrate_content
sub-EN106,10,L,33,boundary_plus_wordrate_content,-2.411448396677724,0.1125579259068521,1.1428011145680592,0.4390697955896118,-3.8981517013389286,0.0105872353736325,-2.411448396677724,0.1125579259068521,boundary,boundary_plus_wordrate_content
sub-EN106,10,L,34,boundary_plus_wordrate_content,0.4147661003897833,0.0003122983196188,-0.0318622820583944,0.7733448519689519,0.4820025075340934,3.009878270269697e-05,0.4147661003897833,0.0003122983196188,boundary,boundary_plus_wordrate_content
sub-EN106,10,L,35,boundary_plus_wordrate_content,9.764072283979797e-06,0.9998790722844324,0.133913879475471,0.0335420286402197,0.1361148535212257,0.035333223431364,9.764072283979797e-06,0.9998790722844324,boundary,boundary_plus_wordrate_content
sub-EN106,10,L,36,boundary_plus_wordrate_content,-1.3504792637525016,0.1136250980674441,0.5318856703792383,0.5213549375939472,-1.95797548175363,0.0221059307474661,-1.3504792637525016,0.1136250980674441,boundary,boundary_plus_wordrate_content
sub-EN106,10,L,37,boundary_plus_wordrate_content,-0.0983346604764739,0.198837404641041,-0.1046842044586448,0.1602039996773409,0.0430256588515753,0.5733579494214837,-0.0983346604764739,0.198837404641041,boundary,boundary_plus_wordrate_content
sub-EN106,10,L,38,boundary_plus_wordrate_content,-0.274803045455039,0.3318084893159444,0.2021037435797036,0.4633611709334627,-0.5240055760868084,0.0647781485025635,-0.274803045455039,0.3318084893159444,boundary,boundary_plus_wordrate_content
sub-EN106,10,L,39,boundary_plus_wordrate_content,-0.6439919770306926,0.0346709678503924,0.1314643826346692,0.6565573424341399,-0.7309662544164166,0.0166054958808336,-0.6439919770306926,0.0346709678503924,boundary,boundary_plus_wordrate_content
sub-EN106,10,L,40,boundary_plus_wordrate_content,-0.4740799331618105,0.0463152254354271,0.1625098358814356,0.4815293844628395,-0.4927697635309506,0.0383441327669661,-0.4740799331618105,0.0463152254354271,boundary,boundary_plus_wordrate_content
sub-EN106,10,L,41,boundary_plus_wordrate_content,-3.813638973735348,0.1371215970513535,1.6209764390431576,0.5156387664051798,-5.812263384869638,0.0238131242877089,-3.813638973735348,0.1371215970513535,boundary,boundary_plus_wordrate_content
sub-EN106,10,L,42,boundary_plus_wordrate_content,0.0009931439250505,0.989331487244087,0.0528402574997444,0.4652152401256619,0.038900507118575,0.6004227155239762,0.0009931439250505,0.989331487244087,boundary,boundary_plus_wordrate_content
sub-EN106,10,L,43,boundary_plus_wordrate_content,0.0959741557441272,0.1602180582829372,-0.0267072572069914,0.687637031163371,0.0134641854332046,0.8434727553721395,0.0959741557441272,0.1602180582829372,boundary,boundary_plus_wordrate_content
sub-EN106,10,L,44,boundary_plus_wordrate_content,-0.180005189765603,0.0170970346306886,-0.0068633180796382,0.925192471387224,0.0178857734981921,0.8116315371287681,-0.180005189765603,0.0170970346306886,boundary,boundary_plus_wordrate_content
sub-EN106,10,L,45,boundary_plus_wordrate_content,-1.1430369878297244,0.0693499739965283,0.4205786821032172,0.4913318885922682,-1.620256602382088,0.0102558830751862,-1.1430369878297244,0.0693499739965283,boundary,boundary_plus_wordrate_content
sub-EN106,10,L,46,boundary_plus_wordrate_content,-0.9057156558990856,0.1138334646511659,0.2541832631782878,0.6478413251520534,-1.4027028149864635,0.0146263428535036,-0.9057156558990856,0.1138334646511659,boundary,boundary_plus_wordrate_content
sub-EN106,10,L,47,boundary_plus_wordrate_content,0.1471918087447597,0.0351456910558276,-0.1133915374649279,0.0950254740741605,0.2640527404217937,0.0001800417613196,0.1471918087447597,0.0351456910558276,boundary,boundary_plus_wordrate_content
sub-EN106,10,L,48,boundary_plus_wordrate_content,-4.822588497829766,0.1320487437595616,1.9758423717650768,0.5255091112327335,-7.638683840483149,0.0173809360026045,-4.822588497829766,0.1320487437595616,boundary,boundary_plus_wordrate_content
sub-EN106,10,L,49,boundary_plus_wordrate_content,-0.4085019475123389,0.1569782865130487,0.0589073468982599,0.8336610648615053,-0.2149722239969366,0.4556021955664346,-0.4085019475123389,0.1569782865130487,boundary,boundary_plus_wordrate_content
sub-EN106,10,L,50,boundary_plus_wordrate_content,0.1975708569203826,0.1329232923027248,-0.0056202106700708,0.9649062524674734,0.1471428480127742,0.2624512389283078,0.1975708569203826,0.1329232923027248,boundary,boundary_plus_wordrate_content
sub-EN106,10,L,51,boundary_plus_wordrate_content,-0.2704172595683505,0.2420516034133858,0.1011010115471581,0.652915680486041,-0.2035096354053276,0.3781889936347006,-0.2704172595683505,0.2420516034133858,boundary,boundary_plus_wordrate_content
sub-EN106,10,L,52,boundary_plus_wordrate_content,0.0299656152660998,0.8893929623813218,-0.1764121513898776,0.4007284244662767,0.7564384092396645,0.0005182035551808,0.0299656152660998,0.8893929623813218,boundary,boundary_plus_wordrate_content
sub-EN106,10,L,53,boundary_plus_wordrate_content,-0.545674527304807,0.0827241757725326,0.1928678452584182,0.5277505849607065,-0.7364896539302845,0.01943362978674,-0.545674527304807,0.0827241757725326,boundary,boundary_plus_wordrate_content
sub-EN106,10,L,54,boundary_plus_wordrate_content,-0.2836881599985946,0.1746132090804416,0.1015776337501878,0.6170809538342419,-0.4615722191718541,0.027587271199106,-0.2836881599985946,0.1746132090804416,boundary,boundary_plus_wordrate_content
sub-EN106,10,L,55,boundary_plus_wordrate_content,-0.1718105556506328,0.1380136991597437,0.1574541964485278,0.1625986372290167,-0.1859085959910847,0.108510568927629,-0.1718105556506328,0.1380136991597437,boundary,boundary_plus_wordrate_content
sub-EN106,10,L,56,boundary_plus_wordrate_content,-0.2052189432869067,0.0201475762138154,0.0351088805056251,0.6815547974929941,-0.1690871507022484,0.0550649188864948,-0.2052189432869067,0.0201475762138154,boundary,boundary_plus_wordrate_content
sub-EN106,10,L,57,boundary_plus_wordrate_content,-0.0613350388640648,0.3275724667380315,0.0331747960165138,0.5863070991755213,-0.0821553670579684,0.1899092885696372,-0.0613350388640648,0.3275724667380315,boundary,boundary_plus_wordrate_content
sub-EN106,10,L,58,boundary_plus_wordrate_content,-0.3748951003939936,0.1053861624492234,0.0952915757747249,0.6717680201708767,-0.6124172449006436,0.0084115197695827,-0.3748951003939936,0.1053861624492234,boundary,boundary_plus_wordrate_content
sub-EN106,10,L,59,boundary_plus_wordrate_content,-0.3211945410407899,0.3086730423193715,0.1222122226886162,0.6905140891953407,-0.5579075125697994,0.0775079344560927,-0.3211945410407899,0.3086730423193715,boundary,boundary_plus_wordrate_content
sub-EN106,10,L,60,boundary_plus_wordrate_content,-0.5453990355634254,0.2660663251851975,0.1979275501977244,0.6781778652222392,-0.8862434616180714,0.0711804503923656,-0.5453990355634254,0.2660663251851975,boundary,boundary_plus_wordrate_content
sub-EN106,10,L,61,boundary_plus_wordrate_content,-0.0213563145080277,0.504774126983348,0.0236302525159927,0.4485243582669721,-0.0555141104355738,0.0836030375312159,-0.0213563145080277,0.504774126983348,boundary,boundary_plus_wordrate_content
sub-EN106,10,L,62,boundary_plus_wordrate_content,-1.145817682465667,0.1419649936867189,0.5168003713488946,0.4956367389502983,-1.8326009072617464,0.0191815385970698,-1.145817682465667,0.1419649936867189,boundary,boundary_plus_wordrate_content
sub-EN106,10,L,63,boundary_plus_wordrate_content,-0.8374221219249651,0.3332277779230495,0.3968725664414165,0.637420863106277,-1.1276978797943562,0.1927286726921837,-0.8374221219249651,0.3332277779230495,boundary,boundary_plus_wordrate_content
sub-EN106,10,L,64,boundary_plus_wordrate_content,-0.3120671939838821,0.0921348626463321,0.117302513093309,0.5145779495645302,-0.4568775978032639,0.0139322731074561,-0.3120671939838821,0.0921348626463321,boundary,boundary_plus_wordrate_content
sub-EN106,10,L,65,boundary_plus_wordrate_content,-0.1412150048916364,0.2289595438434926,0.070223077068545,0.5385156247779308,-0.2365844276490426,0.0443074992036185,-0.1412150048916364,0.2289595438434926,boundary,boundary_plus_wordrate_content
sub-EN106,10,L,66,boundary_plus_wordrate_content,-0.2127415756307102,0.1401001062466047,-0.0099228824773052,0.9435352003371308,-0.3690718115673376,0.0107782146446697,-0.2127415756307102,0.1401001062466047,boundary,boundary_plus_wordrate_content
sub-EN106,10,L,67,boundary_plus_wordrate_content,-0.4673119066065048,0.1186357980169054,0.1119649865749174,0.700346365583544,-0.6843194193716665,0.0226139462754963,-0.4673119066065048,0.1186357980169054,boundary,boundary_plus_wordrate_content
sub-EN106,10,L,68,boundary_plus_wordrate_content,-0.496822108025745,0.1324467069468159,0.1862836501988497,0.5616066480768676,-0.7501605765266489,0.0234391588707135,-0.496822108025745,0.1324467069468159,boundary,boundary_plus_wordrate_content
sub-EN106,10,L,69,boundary_plus_wordrate_content,-0.058820787856859,0.4337205266792838,0.0898756975507425,0.2196607826826109,0.0015710234559387,0.9833027226473978,-0.058820787856859,0.4337205266792838,boundary,boundary_plus_wordrate_content
sub-EN106,10,L,70,boundary_plus_wordrate_content,-0.5930377179862838,0.0179775312088141,0.1640308007675527,0.499360113495029,-0.6254607587361476,0.0126022915204385,-0.5930377179862838,0.0179775312088141,boundary,boundary_plus_wordrate_content
sub-EN106,10,L,71,boundary_plus_wordrate_content,-0.1647771164824383,0.0350811096562529,0.0722726937041257,0.3408017969795035,-0.1830906167173365,0.019277222160647,-0.1647771164824383,0.0350811096562529,boundary,boundary_plus_wordrate_content
