metric,control_model,hemi,mode_k,beta_mean,beta_sem,N_subj,t,p,lam,sig_q05
boundary,boundary_plus_wordrate_content,R,7,-0.8648680816864812,0.13689555628542613,49,-6.317722102558525,8.185862849550228e-08,0.0014691120013594,1
boundary,boundary_plus_wordrate_content,R,8,-16.946410275870225,0.39773712619751,49,-42.60706169897478,8.455766613719475e-40,0.001516374759376,1
boundary,boundary_plus_wordrate_content,R,9,-0.14134120366779843,0.037769967240542116,49,-3.7421584924247275,0.0004874404650328174,0.0017501721158623,1
boundary,boundary_plus_wordrate_content,R,10,-4.233081279992336,0.10023086470343497,49,-42.23331099175149,1.2768680021094857e-39,0.0018113795667886,1
boundary,boundary_plus_wordrate_content,R,11,-14.90190054709217,0.2277526855404121,49,-65.43018586908386,1.3727963014074388e-48,0.0020164949819445,1
boundary,boundary_plus_wordrate_content,R,12,-4.2643889503824575,0.10983250806237785,49,-38.826291283092225,6.465844929622153e-38,0.0022517880424857,1
boundary,boundary_plus_wordrate_content,R,13,-2.802841227386131,0.07307721468330967,49,-38.35451637740485,1.1420288759495082e-37,0.0023531662300229,1
boundary,boundary_plus_wordrate_content,R,14,-9.779573735490969,0.18242475522047388,49,-53.60880832029417,1.7231196399624706e-44,0.0027416236698627,1
boundary,boundary_plus_wordrate_content,R,15,-2.303948153645664,0.07254582775842053,49,-31.75852043921631,6.992628231338746e-34,0.0029593342915177,1
boundary,boundary_plus_wordrate_content,R,16,-2.924853181884312,0.08609815425771968,49,-33.971148476996134,3.1571196664567886e-35,0.0029743034392595,1
boundary,boundary_plus_wordrate_content,R,17,-9.270977756007555,0.26074345337756694,49,-35.55593682569974,3.840728275151317e-36,0.0030919155105948,1
boundary,boundary_plus_wordrate_content,R,18,-0.35752870137824716,0.02783142225093998,49,-12.846224607374207,3.796975360608992e-17,0.0034280661493539,1
boundary,boundary_plus_wordrate_content,R,19,-0.7996346339175466,0.07224801628137999,49,-11.067911273899313,8.241321417389134e-15,0.0035447385162115,1
boundary,boundary_plus_wordrate_content,R,20,-1.5868830013863526,0.05297296280181718,49,-29.956470573926747,1.0116570214224282e-32,0.0037717577069997,1
boundary,boundary_plus_wordrate_content,R,21,-1.7697503756170307,0.06014558625626682,49,-29.42444301858697,2.2891842853360366e-32,0.0040091443806886,1
boundary,boundary_plus_wordrate_content,R,22,-2.8651033001064485,0.055427421082554426,49,-51.6910807709982,9.616727202783815e-44,0.0041310228407382,1
boundary,boundary_plus_wordrate_content,R,23,-0.9776169597082586,0.049160750383018016,49,-19.886127695194105,8.094938616239838e-25,0.0044047320261597,1
boundary,boundary_plus_wordrate_content,R,24,-0.3012996420808808,0.025601358160754074,49,-11.768892891892035,9.415056436533468e-16,0.0045519033446908,1
boundary,boundary_plus_wordrate_content,R,25,-0.016014412166412563,0.01045497111081778,49,-1.5317509724959848,0.13214873442871652,0.0046605272218585,0
boundary,boundary_plus_wordrate_content,R,26,-0.12909407125650552,0.01428141836397123,49,-9.039303237707854,6.207945341930444e-12,0.0048440368846058,1
boundary,boundary_plus_wordrate_content,R,27,-1.46577530164661,0.04897608630605009,49,-29.92838775411788,1.0558714085425132e-32,0.0049720155075192,1
boundary,boundary_plus_wordrate_content,R,28,-0.5537782646769395,0.03984877959597553,49,-13.896994344410679,1.9100229750331746e-18,0.0052369954064488,1
boundary,boundary_plus_wordrate_content,R,29,-0.10081441674796993,0.013750021078510033,49,-7.331946341924757,2.2823060749850766e-09,0.0054828114807605,1
boundary,boundary_plus_wordrate_content,R,30,-0.07249571211605545,0.013460922662158292,49,-5.385642123913046,2.1429656389450848e-06,0.0056525152176618,1
boundary,boundary_plus_wordrate_content,R,31,-0.13165226737177665,0.01241130344996732,49,-10.607448919647783,3.5464798179720105e-14,0.0058893002569675,1
boundary,boundary_plus_wordrate_content,R,32,-1.4843788035330592,0.05333713397904805,49,-27.830119333298907,2.870178511346386e-31,0.0060744471848011,1
boundary,boundary_plus_wordrate_content,R,33,-0.23012562670508271,0.020511022680906637,49,-11.219607636595459,5.125936898234357e-15,0.006196467205882,1
boundary,boundary_plus_wordrate_content,R,34,-0.37865927489956125,0.024929597300830636,49,-15.189145268982932,5.813459199268521e-20,0.0063056014478206,1
boundary,boundary_plus_wordrate_content,R,35,-0.27427476364961473,0.02239702866077534,49,-12.246033516488785,2.229810390909761e-16,0.0066964793950319,1
boundary,boundary_plus_wordrate_content,R,36,-0.3793100019865943,0.019818254522711517,49,-19.139425298626023,4.1538694315354784e-24,0.0067823454737663,1
boundary,boundary_plus_wordrate_content,R,37,-4.941926572101156,0.07686273580688965,49,-64.29548103150113,3.1496609634316527e-48,0.006928913295269,1
boundary,boundary_plus_wordrate_content,R,38,-1.6365171860757737,0.04886393877120952,49,-33.491307234528634,6.082413949200859e-35,0.0072302352637052,1
boundary,boundary_plus_wordrate_content,R,39,-2.556533657375873,0.06859736437542137,49,-37.268686350461095,4.337997241958114e-37,0.0074026435613632,1
boundary,boundary_plus_wordrate_content,R,40,-0.07648264641263007,0.010179537377756438,49,-7.513371538843623,1.2063785589077205e-09,0.0074999053031206,1
boundary,boundary_plus_wordrate_content,R,41,-3.3593044793038946,0.08378418789541332,49,-40.094731042774676,1.445859431341405e-38,0.0076058097183704,1
boundary,boundary_plus_wordrate_content,R,42,-0.20591780247674943,0.01761204495800115,49,-11.691873542668935,1.1912308978494649e-15,0.0078272670507431,1
boundary,boundary_plus_wordrate_content,R,43,-0.3203494554621474,0.018194790175584334,49,-17.606658409945595,1.398760030476115e-22,0.0081295762211084,1
boundary,boundary_plus_wordrate_content,R,44,-0.0654748261691351,0.008398645053173517,49,-7.7958796632791065,4.486014743242197e-10,0.008332522585988,1
boundary,boundary_plus_wordrate_content,R,45,-1.196386850706245,0.033838466235289154,49,-35.355823824502075,4.986877250672424e-36,0.0084747318178415,1
boundary,boundary_plus_wordrate_content,R,46,-0.044897464882074654,0.00805633594364606,49,-5.5729385164833865,1.118229608160378e-06,0.0086999479681253,1
boundary,boundary_plus_wordrate_content,R,47,-1.195236829951148,0.04426954692821545,49,-26.999075276041665,1.1289904446593236e-30,0.0089640468358993,1
boundary,boundary_plus_wordrate_content,R,48,-1.5243128962191679,0.05429016230693584,49,-28.077147524468337,1.9237022826929589e-31,0.0091615673154592,1
boundary,boundary_plus_wordrate_content,R,49,-2.2786230011069484,0.04721094494468899,49,-48.264719203915924,2.433766328185965e-42,0.0093336086720228,1
boundary,boundary_plus_wordrate_content,R,50,-0.40242536299804577,0.017273373225826755,49,-23.29743922839278,8.17390163297608e-28,0.0094550773501396,1
boundary,boundary_plus_wordrate_content,R,51,-0.2599942630875039,0.01555080659848525,49,-16.719021064336886,1.1909446235697403e-21,0.0096245910972356,1
boundary,boundary_plus_wordrate_content,R,52,-0.05344671230332487,0.008639821966593934,49,-6.18608954096251,1.3022375327401579e-07,0.0098703932017087,1
boundary,boundary_plus_wordrate_content,R,53,-0.05738788762928998,0.010791510825894138,49,-5.317873331655122,2.7088605228410992e-06,0.0100258029997348,1
boundary,boundary_plus_wordrate_content,R,54,-0.21784780358407818,0.014573400490952142,49,-14.948316538705463,1.0980323289185459e-19,0.0101064685732126,1
