subject,run,hemi,K,r2
sub-EN059,10,R,3,0.8310063504956379
sub-EN059,10,R,5,0.8957943327129481
sub-EN059,10,R,10,0.9185083822557083
sub-EN059,10,R,20,0.9510113048691571
sub-EN059,10,R,40,0.968444403699707
sub-EN059,10,R,60,0.9799004433010716
sub-EN059,10,R,80,0.9900973911345302
sub-EN059,10,R,100,0.9953731123514244
sub-EN059,10,R,120,1.0
sub-EN059,11,L,1,0.8399550708027187
sub-EN059,11,L,2,0.8425901008650861
sub-EN059,11,L,3,0.8607204882155857
sub-EN059,11,L,5,0.9087890169252283
sub-EN059,11,L,10,0.9278285659456569
sub-EN059,11,L,20,0.9559506158240013
sub-EN059,11,L,40,0.9700148264146433
sub-EN059,11,L,60,0.9818374135396294
sub-EN059,11,L,80,0.9909612267487168
sub-EN059,11,L,100,0.9956042038349181
sub-EN059,11,L,120,1.0
sub-EN059,11,R,1,0.820651881318793
sub-EN059,11,R,2,0.822872153676211
sub-EN059,11,R,3,0.8316629746001918
sub-EN059,11,R,5,0.8971030955409834
sub-EN059,11,R,10,0.9192597129657725
sub-EN059,11,R,20,0.9527645733632065
sub-EN059,11,R,40,0.9701841583572856
sub-EN059,11,R,60,0.980744934158869
sub-EN059,11,R,80,0.9909301822277194
sub-EN059,11,R,100,0.995624204738958
sub-EN059,11,R,120,1.0
sub-EN059,12,L,1,0.8319428858861652
sub-EN059,12,L,2,0.8351944804926091
sub-EN059,12,L,3,0.8541820217829489
sub-EN059,12,L,5,0.9034488159914775
sub-EN059,12,L,10,0.9230927180641634
sub-EN059,12,L,20,0.9516500415011829
sub-EN059,12,L,40,0.9672949685746368
sub-EN059,12,L,60,0.9805529623808664
sub-EN059,12,L,80,0.9902796129616922
sub-EN059,12,L,100,0.9953254006762227
sub-EN059,12,L,120,1.0
sub-EN059,12,R,1,0.8238012795296541
sub-EN059,12,R,2,0.8263050690667245
sub-EN059,12,R,3,0.8348816307238273
sub-EN059,12,R,5,0.8988720513333462
sub-EN059,12,R,10,0.9208326899342962
sub-EN059,12,R,20,0.9509058897758998
sub-EN059,12,R,40,0.9674915711070972
sub-EN059,12,R,60,0.9796513071874091
sub-EN059,12,R,80,0.9899456643402227
