subject,K,energy_subject
sub-EN082,100,0.9935759045578381
sub-EN082,120,1.0
sub-EN083,1,0.821767706875827
sub-EN083,2,0.8260730060595068
sub-EN083,3,0.8418341742531106
sub-EN083,5,0.900539556651097
sub-EN083,10,0.921377923617632
sub-EN083,20,0.9501877603817602
sub-EN083,40,0.9680074007501916
sub-EN083,60,0.9800800277506211
sub-EN083,80,0.9894039872067487
sub-EN083,100,0.9951337780512173
sub-EN083,120,1.0
sub-EN084,1,0.8325696908003332
sub-EN084,2,0.8371469759329977
sub-EN084,3,0.8497013964150745
sub-EN084,5,0.9092289988030843
sub-EN084,10,0.9300447926997416
sub-EN084,20,0.9571133185960884
sub-EN084,40,0.9712120920666885
sub-EN084,60,0.9821114746696953
sub-EN084,80,0.9910083074984765
sub-EN084,100,0.9959069067816393
sub-EN084,120,1.0
sub-EN086,1,0.8365025233997306
sub-EN086,2,0.8395180929993818
sub-EN086,3,0.8507580093288715
sub-EN086,5,0.9043949800787102
sub-EN086,10,0.9257395183766189
sub-EN086,20,0.9526567302487066
sub-EN086,40,0.9688498826169847
sub-EN086,60,0.9811675093940563
sub-EN086,80,0.9903016170372064
sub-EN086,100,0.9953975051794954
sub-EN086,120,1.0
sub-EN087,1,0.8132422694835282
sub-EN087,2,0.8189292917352875
sub-EN087,3,0.8364997683703653
sub-EN087,5,0.8955023364006615
sub-EN087,10,0.9191716039808983
sub-EN087,20,0.948447215422981
sub-EN087,40,0.9665268755804394
sub-EN087,60,0.9791672435734196
sub-EN087,80,0.9888417711392228
sub-EN087,100,0.9949486552814256
sub-EN087,120,1.0
sub-EN088,1,0.8213379838176402
sub-EN088,2,0.8256911099989872
sub-EN088,3,0.8385967953814386
sub-EN088,5,0.8958887821970869
sub-EN088,10,0.9190980160790042
sub-EN088,20,0.9479186427152908
sub-EN088,40,0.9661960884274214
sub-EN088,60,0.9792346616590945
sub-EN088,80,0.9890835055738503
sub-EN088,100,0.9948603331468843
sub-EN088,120,1.0
sub-EN089,1,0.8163830242034197
sub-EN089,2,0.8205814687794537
sub-EN089,3,0.8340585774771855
sub-EN089,5,0.8942314931047038
sub-EN089,10,0.9176467626370884
sub-EN089,20,0.9475540372709302
sub-EN089,40,0.9653222188518283
sub-EN089,60,0.9782376842023278
sub-EN089,80,0.9885895602037092
sub-EN089,100,0.9945323927552424
sub-EN089,120,1.0
sub-EN091,1,0.769241673926275
sub-EN091,2,0.7834311678585462
sub-EN091,3,0.8070069634531453
sub-EN091,5,0.8729556330835366
sub-EN091,10,0.9027488561353889
sub-EN091,20,0.9387893220138545
sub-EN091,40,0.961150992613283
sub-EN091,60,0.9760010407511417
sub-EN091,80,0.9870195417563588
sub-EN091,100,0.9940245204386069
sub-EN091,120,1.0
sub-EN092,1,0.8169839214257463
sub-EN092,2,0.8229321478286672
sub-EN092,3,0.8372455729789827
sub-EN092,5,0.8957907608802808
sub-EN092,10,0.919522954941407
sub-EN092,20,0.9494348574516711
sub-EN092,40,0.9666735365856195
sub-EN092,60,0.9790033491367647
sub-EN092,80,0.9890445472836509
sub-EN092,100,0.9947601930445207
sub-EN092,120,1.0
sub-EN093,1,0.7471630966120091
sub-EN093,2,0.7648014703534521
sub-EN093,3,0.7917439681052636
sub-EN093,5,0.8560072237986603
sub-EN093,10,0.8865243747142899
sub-EN093,20,0.9263966140043843
sub-EN093,40,0.9535226837398647
sub-EN093,60,0.9711758319612596
sub-EN093,80,0.9841037130312904
sub-EN093,100,0.9922526840109112
sub-EN093,120,1.0
sub-EN094,1,0.7779429498893805
sub-EN094,2,0.7868866561103456
sub-EN094,3,0.8071227649969898
sub-EN094,5,0.8706276944285742
sub-EN094,10,0.8999094145072194
sub-EN094,20,0.9352533036517229
sub-EN094,40,0.9579358185598801
sub-EN094,60,0.9739177382305377
sub-EN094,80,0.985484359251633
sub-EN094,100,0.9932396420546712
sub-EN094,120,1.0
sub-EN095,1,0.7827392446432097
sub-EN095,2,0.7879971406214821
sub-EN095,3,0.8070905578183785
sub-EN095,5,0.8702613555176777
sub-EN095,10,0.9007900480733964
sub-EN095,20,0.9372485619033346
sub-EN095,40,0.9593123914066304
sub-EN095,60,0.9733646620617074
sub-EN095,80,0.985729936906833
sub-EN095,100,0.9933386369959274
sub-EN095,120,1.0
sub-EN096,1,0.7841089394450813
sub-EN096,2,0.7897254766855308
sub-EN096,3,0.8086774885384218
sub-EN096,5,0.8704474323908146
sub-EN096,10,0.9009034132540601
sub-EN096,20,0.936377029427133
sub-EN096,40,0.9589669108073795
sub-EN096,60,0.9742754112428966
sub-EN096,80,0.9859559267472826
sub-EN096,100,0.9936775684789535
sub-EN096,120,1.0
sub-EN097,1,0.8008291093824648
sub-EN097,2,0.8063263406836416
sub-EN097,3,0.8232169134004421
sub-EN097,5,0.8843083957399739
sub-EN097,10,0.9096108775729369
sub-EN097,20,0.9411115490938848
sub-EN097,40,0.9619796750425836
sub-EN097,60,0.9759642828971238
sub-EN097,80,0.9872036801967425
