subject,run,hemi,mode_k,beta,p
sub-EN057,15,L,72,-0.421726450827086,6.841530361281053e-32
sub-EN057,15,L,73,-0.0925402717946531,0.0159610279809642
sub-EN057,15,L,74,-0.9624160674706306,0.0418622505769436
sub-EN057,15,L,75,-0.141429009966664,0.0011391322117178
sub-EN057,15,L,76,-0.435331982838149,0.0359001920068054
sub-EN057,15,L,77,-0.3950301856521523,0.0231646059724517
sub-EN057,15,L,78,-2.3107864321806084,0.0377314942076843
sub-EN057,15,L,79,-0.1216187428097922,0.0426656522687888
sub-EN057,15,L,80,-0.1138929074353297,0.0521055842228673
sub-EN057,15,L,81,-0.2247375083373021,0.0054012078105583
sub-EN057,15,L,82,-0.5930685830389936,0.0295955471360799
sub-EN057,15,L,83,-0.3485238709376825,0.0437851637280726
sub-EN057,15,L,84,-0.5108644627880219,0.0428277107455943
sub-EN057,15,L,85,-0.0515869019531006,0.1449342536476898
sub-EN057,15,L,86,-0.3835797790674721,0.0437005375313859
sub-EN057,15,L,87,-0.0216152880268981,0.2350892283007377
sub-EN057,15,L,88,-0.5109720966172562,0.0363985171063698
sub-EN057,15,L,89,-0.1391794843500044,3.257643965499271e-05
sub-EN057,15,L,90,-0.4132194498145433,0.0005725630201277
sub-EN057,15,L,91,-0.1941748539796111,0.0001727905915509
sub-EN057,15,L,92,-0.156897595216897,0.0241407560093194
sub-EN057,15,L,93,-0.8150423727058941,0.0348237904346303
sub-EN057,15,L,94,-0.0811729502015635,0.0571253098641114
sub-EN057,15,L,95,-0.0182008353792251,0.1587537061801351
sub-EN057,15,L,96,-0.8003831141814062,0.0033398634443976
sub-EN057,15,L,97,-0.7185702119164808,0.0083331744812669
sub-EN057,15,L,98,-0.2914888106846261,0.0635782489150032
sub-EN057,15,L,99,-0.1655309157744842,0.0132407995182712
sub-EN057,15,L,100,-0.2053946126832672,0.0005339850275232
sub-EN057,15,L,101,-1.233867538403294,0.0287768367490105
sub-EN057,15,L,102,-0.4556722775253751,0.007111499193997
sub-EN057,15,L,103,-0.1233904856460261,0.1553472052307121
sub-EN057,15,L,104,-0.0909206185726909,0.0001346703680568
sub-EN057,15,L,105,-0.5822295068559319,0.0393207163709437
sub-EN057,15,L,106,-0.2184431007193125,0.0541961577660248
sub-EN057,15,L,107,-0.173275942646622,2.1016967050260007e-10
sub-EN057,15,L,108,-0.2309568512019963,0.0199636855391971
sub-EN057,15,L,109,-0.0666812153781205,0.0029925873056058
sub-EN057,15,L,110,-0.0023882741993209,0.8118568005386397
sub-EN057,15,L,111,-0.9410641826671652,0.0351726556580036
sub-EN057,15,L,112,-1.328070217546096,0.0398328811658515
sub-EN057,15,L,113,-0.0708169841111881,0.0635918421458056
sub-EN057,15,L,114,-0.0040344210054169,0.6849286965910972
sub-EN057,15,L,115,-0.1096136684009897,0.0137933377988003
sub-EN057,15,L,116,-0.0386122985413514,0.0030337922562451
sub-EN057,15,L,117,-0.2496731083314656,0.0016363745596439
sub-EN057,15,L,118,-0.0284019241594144,0.0330061711142002
sub-EN057,15,L,119,-0.5610585129372463,0.0269818841694569
sub-EN057,15,R,0,-2314.6059806891444,0.0400080800999066
sub-EN057,15,R,1,0.00090677638138,0.996961534945513
sub-EN057,15,R,2,-22.747606901374105,0.0273324532401252
sub-EN057,15,R,3,-168.28112768360657,0.0408085359749314
sub-EN057,15,R,4,-9.556245799718388,0.0457165804255987
sub-EN057,15,R,5,-0.0421499662485765,0.4640528023852432
sub-EN057,15,R,6,-25.51030927980249,0.0371093043577396
sub-EN057,15,R,7,-1.2434274086769028,0.0004246650036928
sub-EN057,15,R,8,-24.579718903450257,0.0395739233900798
sub-EN057,15,R,9,-0.2746740756211098,0.0417845621961454
sub-EN057,15,R,10,-6.715832913445703,0.0020296258214409
sub-EN057,15,R,11,-20.523124297912908,0.0321663783610083
sub-EN057,15,R,12,-7.718081721757518,0.0134839436034061
sub-EN057,15,R,13,-3.7792015963267542,0.0410878363260749
sub-EN057,15,R,14,-11.423504404262175,0.0144864184177642
sub-EN057,15,R,15,-3.0229985919322457,0.0524365500506615
sub-EN057,15,R,16,-2.715742699110044,0.0357240206056205
sub-EN057,15,R,17,-12.419962447372958,0.03581473522575
sub-EN057,15,R,18,-0.5349774693657711,0.0025448541591949
sub-EN057,15,R,19,-2.0524210381593178,7.685431568648885e-09
sub-EN057,15,R,20,-2.179667569499357,0.0240037008549116
sub-EN057,15,R,21,-1.5783547089863852,0.074438328665375
sub-EN057,15,R,22,-3.8465066790634665,0.0433283126131505
sub-EN057,15,R,23,-1.948963894175415,0.0399948513067442
sub-EN057,15,R,24,-0.7090911520643131,0.1272986509644751
sub-EN057,15,R,25,-0.6896251068429602,4.2042655519667664e-20
sub-EN057,15,R,26,-0.2746568595198165,0.0002796235240545
sub-EN057,15,R,27,-1.899106030606544,0.0115059186346367
sub-EN057,15,R,28,-0.6865951275981858,4.941818644282174e-06
sub-EN057,15,R,29,-0.188655987008659,2.774612491867977e-07
sub-EN057,15,R,30,-0.6537900090919896,1.902709441002291e-12
sub-EN057,15,R,31,-0.1465206832168978,0.0002111330929341
sub-EN057,15,R,32,-1.585002148985028,0.0393776408255508
sub-EN057,15,R,33,-0.0979308292958095,0.0262523300202178
sub-EN057,15,R,34,-0.6812501925735113,0.0083050185909826
sub-EN057,15,R,35,-0.2116548283979074,0.0003994390053385
sub-EN057,15,R,36,-0.2365971835194337,0.1358773920199142
sub-EN057,15,R,37,-6.825312166513007,0.0401922678882059
sub-EN057,15,R,38,-2.0341561712176657,0.0333897453390766
sub-EN057,15,R,39,-4.030738425018717,0.0393739761109152
sub-EN057,15,R,40,-0.2923842267089049,2.4109631653892383e-06
sub-EN057,15,R,41,-5.15445949492844,0.0293646138851981
sub-EN057,15,R,42,-0.8699007039914983,0.0004131930595735
sub-EN057,15,R,43,-0.3239057256534927,0.0541311328915279
sub-EN057,15,R,44,-0.364342961251445,6.343309980735417e-05
sub-EN057,15,R,45,-1.4548674353693851,0.0353943357747605
sub-EN057,15,R,46,0.0040115082137559,0.8735573461543198
sub-EN057,15,R,47,-1.77841576447614,0.0526433421773674
sub-EN057,15,R,48,-2.094404544098416,0.0329626213273029
sub-EN057,15,R,49,-3.146053216777465,0.0416034688012484
sub-EN057,15,R,50,-0.5996340202911555,0.0424062376717809
sub-EN057,15,R,51,-0.6818543506379944,1.3028056806606051e-05
sub-EN057,15,R,52,-0.0731932831141258,0.1002473805362316
sub-EN057,15,R,53,-0.158253171818462,9.083775960508104e-05
sub-EN057,15,R,54,-0.4053980482560565,0.0390032018846265
sub-EN057,15,R,55,0.0008977607337106,0.9666467062400916
sub-EN057,15,R,56,-0.3769540846245156,9.60237967940027e-10
sub-EN057,15,R,57,-0.1780126815898533,3.5664345775919013e-13
sub-EN057,15,R,58,-0.6500020698856291,0.0028316827253114
sub-EN057,15,R,59,-0.5207490164542774,0.0447953570536264
sub-EN057,15,R,60,-1.0412719479962156,0.0428217338930602
