metric,hemi,mode_k,beta_mean,beta_sem,N_subj,t,p,lam,sig_q05
boundary,L,25,-0.44491676741005837,0.020905663556407456,49,-21.282116504438537,4.3170498973865015e-26,0.0046605272218585,1
boundary,L,26,-1.1247081275735091,0.03996064991631003,49,-28.14539127689355,1.7233408870717632e-31,0.0048440368846058,1
boundary,L,27,-0.25124286682739516,0.015010659649142638,49,-16.737629970961695,1.1377052222972242e-21,0.0049720155075192,1
boundary,L,28,-0.5112271601478371,0.02015249441843394,49,-25.36793458581515,1.854925621724134e-29,0.0052369954064488,1
boundary,L,29,-0.26894034637594344,0.020337481817732792,49,-13.223876426109316,1.2760872880612417e-17,0.0054828114807605,1
boundary,L,30,-0.17440935752256465,0.018132976326416268,49,-9.61835246365395,8.913129179200041e-13,0.0056525152176618,1
boundary,L,31,-0.19539826267914562,0.015305604759875477,49,-12.766451619827098,4.7915185386962746e-17,0.0058893002569675,1
boundary,L,32,-0.8341601050777014,0.027683410002774446,49,-30.132129856621763,7.747891394758074e-33,0.0060744471848011,1
boundary,L,33,-2.8157840639042466,0.07255621793130758,49,-38.8083081531356,6.606791583750409e-38,0.006196467205882,1
boundary,L,34,-0.10944805994800956,0.009542567198572018,49,-11.46945655927765,2.3600460653814837e-15,0.0063056014478206,1
boundary,L,35,-0.042867926065330846,0.007365603397220979,49,-5.820015517195073,4.716297663485308e-07,0.0066964793950319,1
boundary,L,36,-1.8196143036056576,0.040430724922165186,49,-45.00573034761733,6.497576645200838e-41,0.0067823454737663,1
boundary,L,37,-0.03651551590635104,0.005967486425037713,49,-6.119078168849002,1.6490257392964282e-07,0.006928913295269,1
boundary,L,38,-0.5366035397555864,0.0193495013981627,49,-27.73216367252433,3.366620137145843e-31,0.0072302352637052,1
boundary,L,39,-0.6692457318236631,0.022889191610257337,49,-29.238504496757937,3.054818087941499e-32,0.0074026435613632,1
boundary,L,40,-0.0973350420966986,0.009696929354918848,49,-10.037717975879096,2.2388705577629754e-13,0.0074999053031206,1
boundary,L,41,-2.7703372638363772,0.05659490089809964,49,-48.950297992825014,1.2531126140451792e-42,0.0076058097183704,1
boundary,L,42,-0.015725504894602112,0.003895270484559322,49,-4.037076489793793,0.00019384017489493756,0.0078272670507431,1
boundary,L,43,-0.02697456752534532,0.0058854255439558315,49,-4.5832824362288385,3.278862875435685e-05,0.0081295762211084,1
boundary,L,44,-0.038397355361709996,0.007463989320030675,49,-5.144347575453416,4.922206708576599e-06,0.008332522585988,1
boundary,L,45,-0.4844171873223725,0.019140447613704176,49,-25.308561069153864,2.0598887478807938e-29,0.0084747318178415,1
boundary,L,46,-0.7365017779298066,0.031244216363426624,49,-23.57241959161215,4.865103032978252e-28,0.0086999479681253,1
boundary,L,47,-0.06485408751146211,0.006121270254840334,49,-10.594874072122431,3.692070882329205e-14,0.0089640468358993,1
boundary,L,48,-4.305496037508805,0.09377962417249722,49,-45.91078366436319,2.5523240033122926e-41,0.0091615673154592,1
boundary,L,49,-0.36987808998416116,0.012868767667964704,49,-28.742308473322545,6.65118642630981e-32,0.0093336086720228,1
boundary,L,50,-0.015876117097786708,0.004788827739894701,49,-3.3152407979777956,0.0017490111659518846,0.0094550773501396,1
boundary,L,51,-0.37084295882861484,0.016316996081263253,49,-22.72740380531515,2.43646691475465e-27,0.0096245910972356,1
boundary,L,52,-0.0670203405766693,0.009944916548094911,49,-6.739155653297863,1.84740303229054e-08,0.0098703932017087,1
boundary,L,53,-0.5837450650077919,0.027410972917329534,49,-21.29603596225297,4.1960097144675726e-26,0.0100258029997348,1
boundary,L,54,-0.2160540604296526,0.01235003624616522,49,-17.494204561281272,1.8266853963249183e-22,0.0101064685732126,1
boundary,L,55,-0.15623901584133662,0.01078721715137872,49,-14.48371842791425,3.8169781503536377e-19,0.0102680269628763,1
boundary,L,56,-0.11838892002753004,0.008815377821685736,49,-13.429818031882258,7.094518195814547e-18,0.0104580484330654,1
boundary,L,57,-0.036935740619828565,0.006442083397145886,49,-5.733508609372032,6.384536499691238e-07,0.0108443927019834,1
boundary,L,58,-0.22804479177626907,0.013127488744269274,49,-17.371547309520313,2.4475319229273823e-22,0.0109784808009862,1
boundary,L,59,-0.3217547464310535,0.014691343902070785,49,-21.900974381635795,1.236907850537807e-26,0.0112018398940563,1
boundary,L,60,-0.5744192551989786,0.023399136898265956,49,-24.548736891297356,8.028114636682237e-29,0.0112499464303255,1
boundary,L,61,-0.08043493719549077,0.007516376697298563,49,-10.70129138477049,2.6283238903345228e-14,0.0114265698939561,1
boundary,L,62,-1.1173196294062158,0.03648431982599541,49,-30.624652857310924,3.69468578796351e-33,0.0116981286555528,1
boundary,L,63,-1.4555043994885573,0.03182310417718918,49,-45.73734829212116,3.048642862376983e-41,0.0118494983762502,1
boundary,L,64,-0.21836361067461968,0.011346858094912074,49,-19.24441187578911,3.29081042549947e-24,0.0121008921414613,1
boundary,L,65,-0.13805975385549565,0.009867495550438183,49,-13.991367226850677,1.4700537404062067e-18,0.0122096873819828,1
boundary,L,66,-0.2056570164448174,0.012211645712570024,49,-16.84105658528276,8.829302093588095e-22,0.012521605938673,1
boundary,L,67,-0.20296306299508493,0.009256093101013807,49,-21.927508807452966,1.1731246069833822e-26,0.0128279495984315,1
boundary,L,68,-0.7956690350917933,0.03550861824435535,49,-22.40777237842189,4.540358246022787e-27,0.0129549652338027,1
boundary,L,69,-0.013605983647556677,0.00415949084334584,49,-3.271069503452062,0.0019875804686454155,0.0130439344793558,1
boundary,L,70,-0.4255922147130833,0.0162618895205607,49,-26.171141685287328,4.586358328189593e-30,0.0131426770240068,1
boundary,L,71,-0.11684312667738692,0.00973816383525976,49,-11.998476165940392,4.690672879599645e-16,0.0135406553745269,1
boundary,L,72,-0.053245830821630806,0.005375040415933917,49,-9.90612659651589,3.446040886965804e-13,0.0137549825012683,1
boundary,L,73,-0.035395230238326685,0.0051980408527854,49,-6.809340526702469,1.4416878549425733e-08,0.0138666797429323,1
boundary,L,74,-0.44915610365693487,0.024327133118996005,49,-18.4631744916218,1.907339410574957e-23,0.0139644090086221,1
boundary,L,75,-0.06537301175154847,0.00598977149622014,49,-10.914107790723282,1.337806788755313e-14,0.0142714828252792,1
boundary,L,76,-0.25773330290552365,0.010314132833137946,49,-24.988363740814027,3.638439052666505e-29,0.0145824085921049,1
boundary,L,77,-0.2947633473204018,0.012887484949856448,49,-22.87206141984167,1.8427029445633945e-27,0.0147327147424221,1
boundary,L,78,-1.1900907233831874,0.02968597225521592,49,-40.08932950390684,1.4549726471988585e-38,0.0147609356790781,1
boundary,L,79,-0.05105395580814844,0.005502945669028959,49,-9.277568574860624,2.7806716487445174e-12,0.0149750523269176,1
boundary,L,80,-0.03205806713701306,0.004703886748112764,49,-6.8152293738523815,1.4120054980294526e-08,0.0150899533182382,1
boundary,L,81,-0.14311940466760895,0.010554231402134327,49,-13.560381539357444,4.903143591722355e-18,0.0154220629483461,1
boundary,L,82,-0.15077927639610356,0.00956994031416505,49,-15.75550854511872,1.3373952718644684e-20,0.0154968649148941,1
boundary,L,83,-0.22461711456653144,0.011994562926831596,49,-18.726577694971066,1.0481236675946424e-23,0.0157812219113111,1
boundary,L,84,-0.29091786813605586,0.012845051217777787,49,-22.648245087058914,2.8406208253505863e-27,0.0159307047724723,1
boundary,L,85,-0.008272424715940375,0.0033956875531208587,49,-2.4361560321819,0.01860539258250894,0.0159959252923727,1
boundary,L,86,-0.22565981708811433,0.010039222410498322,49,-22.477818287214657,3.958909657327547e-27,0.0163249354809522,1
boundary,L,87,-0.05193752970966783,0.007229187232651168,49,-7.184421711349247,3.836932423328405e-09,0.0165493730455636,1
boundary,L,88,-0.3178313153440385,0.010265965971169657,49,-30.95970863692882,2.246242556064638e-33,0.0166782364249229,1
boundary,L,89,-0.07090581629537883,0.008857291046701427,49,-8.005361449851545,2.161417113897805e-10,0.0169897153973579,1
boundary,L,90,-0.10093748429758323,0.007303227260216357,49,-13.820942536928937,2.360554463291061e-18,0.0170869976282119,1
boundary,L,91,-0.06140811989063598,0.008939153664331623,49,-6.869567544818288,1.165407256532072e-08,0.0171879101544618,1
boundary,L,92,-0.11121408463191298,0.00911231099433634,49,-12.204816615789003,2.522331445282822e-16,0.0173780377954244,1
boundary,L,93,-0.5031989061544161,0.0221192880596185,49,-22.74932650626618,2.3352614491192323e-27,0.0176062751561403,1
boundary,L,94,-0.0835321677821067,0.005876388252975886,49,-14.214882370953761,7.9415766366693e-19,0.017727717757225,1
boundary,L,95,-0.01139137368579243,0.002770032226983064,49,-4.11236142844416,0.00015248859708066393,0.0180606748908758,1
boundary,L,96,-0.3424329129163875,0.014608518637323976,49,-23.440632237788293,6.234612036654417e-28,0.0183309633284807,1
boundary,L,97,-0.1140056679907733,0.00791908558645526,49,-14.396317194218442,4.838971146566151e-19,0.0185584239661693,1
boundary,L,98,-0.17219883814998305,0.01257813688235892,49,-13.690329478882939,3.4016895139444746e-18,0.0187302939593791,1
boundary,L,99,-0.04434538418327879,0.004383716417838,49,-10.115933595255106,1.7343561617989838e-13,0.0188728664070367,1
boundary,L,100,-0.05721058459436289,0.005361469658098326,49,-10.67069073270762,2.897713959229532e-14,0.0190864745527505,1
boundary,L,101,-0.4837826385392018,0.014853983428872009,49,-32.56921894761664,2.197963158315206e-34,0.019279059022665,1
boundary,L,102,-0.29233967546597206,0.015043515351800377,49,-19.432936293775604,2.17139069887469e-24,0.0194607581943273,1
boundary,L,103,-0.0917750665295377,0.009162926805303702,49,-10.01591178011116,2.4043764912695245e-13,0.0196548048406839,1
boundary,L,104,-0.03351615537396294,0.003963973427946579,49,-8.455191737076053,4.5577841660913665e-11,0.0198375191539526,1
boundary,L,105,-0.28354799696324257,0.013733311942147386,49,-20.64673096757067,1.6071032403453257e-25,0.0199899114668369,1
boundary,L,106,-0.11564609171504647,0.007256260259838761,49,-15.93742335223464,8.40600738352415e-21,0.0203421004116535,1
boundary,L,107,-0.05046420410298272,0.004717739250503522,49,-10.696692085641804,2.6671339724077698e-14,0.0204064417630434,1
boundary,L,108,-0.059381907855494846,0.005085659038473368,49,-11.676344679473504,1.2492135835777143e-15,0.0205841325223445,1
boundary,L,109,-0.02075425706364805,0.003518302007852137,49,-5.8989413124083026,3.575938164310795e-07,0.0207765027880668,1
boundary,L,110,-0.012376533401960203,0.0025395208426366622,49,-4.873570318529162,1.2383252388628055e-05,0.0210340023040771,1
boundary,L,111,-0.3351408147618152,0.014459184849299778,49,-23.178403088058264,1.0248739771872476e-27,0.0211396422237157,1
boundary,L,112,-0.6450117125541173,0.02143818401664207,49,-30.087049913061975,8.295760569845809e-33,0.0213069375604391,1
boundary,L,113,-0.029277732754543408,0.004746087818966194,49,-6.168813951892018,1.3839871929869816e-07,0.0215043816715478,1
