subject,run,hemi,mode_k,beta,p
sub-EN057,15,L,70,-0.5499848220360526,0.3104253246607138
sub-EN057,15,L,71,-0.0972316801643968,0.4177257443240634
sub-EN057,15,L,72,-0.0428383931268438,0.2987111694898511
sub-EN057,15,L,73,-0.0066943884662943,0.8590344533746266
sub-EN057,15,L,74,-0.4581573790961072,0.3460727742423457
sub-EN057,15,L,75,-0.0206494089578821,0.6458983096737181
sub-EN057,15,L,76,-0.2470581656392077,0.2465313631974705
sub-EN057,15,L,77,-0.18919831193567,0.2904120865604071
sub-EN057,15,L,78,-1.105723518898681,0.3335627797139181
sub-EN057,15,L,79,-0.0577440228046231,0.3491603707670057
sub-EN057,15,L,80,-0.0782463979461199,0.1934267536479725
sub-EN057,15,L,81,-0.1133451886447239,0.1731790993278092
sub-EN057,15,L,82,-0.2945164240691563,0.2934609421319463
sub-EN057,15,L,83,-0.1788023140560055,0.3142536006589106
sub-EN057,15,L,84,-0.2718222488862019,0.2944199067693133
sub-EN057,15,L,85,-0.0016560939689365,0.9632531555320494
sub-EN057,15,L,86,-0.1927461084463456,0.3241463772203189
sub-EN057,15,L,87,-0.0138305115871073,0.4329384270857347
sub-EN057,15,L,88,-0.252025907938368,0.3154881184755086
sub-EN057,15,L,89,-0.0249487455580969,0.4732737384775083
sub-EN057,15,L,90,-0.1596416699823176,0.1981378660137975
sub-EN057,15,L,91,-0.1152487015806554,0.0305025739571985
sub-EN057,15,L,92,-0.0737750066658434,0.3024869020693457
sub-EN057,15,L,93,-0.4096951798538345,0.3021911507289164
sub-EN057,15,L,94,-0.0512901625406228,0.241712139672993
sub-EN057,15,L,95,-0.0240533639789936,0.0679054470698367
sub-EN057,15,L,96,-0.3054929537394358,0.2776333359814198
sub-EN057,15,L,97,-0.2795748440121677,0.3191982151307403
sub-EN057,15,L,98,-0.1672220583022014,0.3001887284557991
sub-EN057,15,L,99,-0.0952314846117228,0.165902540491981
sub-EN057,15,L,100,-0.047404912805498,0.4399346470846434
sub-EN057,15,L,101,-0.5739478102268247,0.3227333776254159
sub-EN057,15,L,102,-0.1607227023128176,0.3570678160105702
sub-EN057,15,L,103,-0.0786096219383134,0.3764229798784203
