metric,hemi,mode_k,beta_mean,beta_sem,N_subj,t,p,lam,sig_q05
sentence_shift,L,58,-0.4560388633547996,0.02590323703436979,48,-17.605477753599025,2.5168035846049507e-22,0.0109784808009862,1
sentence_shift,L,59,-0.6233656890268905,0.02289937102135335,48,-27.22195681469201,2.0038043979788926e-30,0.0112018398940563,1
sentence_shift,L,60,-1.0906484235419043,0.04030665681450352,48,-27.058766708467292,2.6144280874975744e-30,0.0112499464303255,1
sentence_shift,L,61,-0.19616625878753255,0.013453010541644295,48,-14.581588127080746,4.594685714705833e-19,0.0114265698939561,1
sentence_shift,L,62,-2.026653248610151,0.05757787357829846,48,-35.198473348519286,1.9906883648064897e-35,0.0116981286555528,1
sentence_shift,L,63,-2.62099907863784,0.04996216957506847,48,-52.45967300718943,2.2739226872051625e-43,0.0118494983762502,1
sentence_shift,L,64,-0.4083379752697855,0.02031511681847861,48,-20.10020315996223,1.0166988462914377e-24,0.0121008921414613,1
sentence_shift,L,65,-0.2790365558684074,0.01739042045347564,48,-16.045417453529097,1.0712247689786086e-20,0.0122096873819828,1
sentence_shift,L,66,-0.38948834496965884,0.02031148782742879,48,-19.1757663583704,7.343078974885274e-24,0.012521605938673,1
sentence_shift,L,67,-0.3902264810115919,0.017625108596837795,48,-22.140373142529423,1.6549850799501513e-26,0.0128279495984315,1
sentence_shift,L,68,-1.4468244729521473,0.05815354290354794,48,-24.87938654660844,1.0512482403302355e-28,0.0129549652338027,1
sentence_shift,L,69,-0.06056381812378131,0.006700508425829232,48,-9.038689943336074,7.527785828652816e-12,0.0130439344793558,1
sentence_shift,L,70,-0.8050996523746433,0.031176322925281396,48,-25.824073425983627,2.0502883358047157e-29,0.0131426770240068,1
sentence_shift,L,71,-0.2203789049847312,0.015238389496100038,48,-14.462086366878388,6.312967352174019e-19,0.0135406553745269,1
sentence_shift,L,72,-0.11282763168420469,0.01012583321020422,48,-11.142552848935301,8.700686096507403e-15,0.0137549825012683,1
sentence_shift,L,73,-0.10078284894761637,0.008455154232873657,48,-11.91969373613227,8.240025970702134e-16,0.0138666797429323,1
sentence_shift,L,74,-0.8443735878214463,0.03987480423845647,48,-21.175617133365307,1.11428461745723e-25,0.0139644090086221,1
sentence_shift,L,75,-0.14642131442252201,0.012791319440976223,48,-11.44692813733274,3.4245355345869034e-15,0.0142714828252792,1
sentence_shift,L,76,-0.5229563292740682,0.020710430986477537,48,-25.250866561662683,5.493051239150119e-29,0.0145824085921049,1
sentence_shift,L,77,-0.5486058046418583,0.02110464135826844,48,-25.994557089543903,1.5350193715274732e-29,0.0147327147424221,1
sentence_shift,L,78,-2.1640535355729202,0.05273221621500599,48,-41.03854703829224,1.8309335557706977e-38,0.0147609356790781,1
sentence_shift,L,79,-0.13733607668879247,0.0110467214145051,48,-12.432292943357911,1.816681036330561e-16,0.0149750523269176,1
sentence_shift,L,80,-0.11406673270962804,0.012325408911207886,48,-9.25460027584996,3.670244547746702e-12,0.0150899533182382,1
sentence_shift,L,81,-0.3074539305366695,0.017452436783192155,48,-17.616676361937486,2.452128201438152e-22,0.0154220629483461,1
sentence_shift,L,82,-0.3017521396415027,0.015437091164315658,48,-19.54721497914272,3.2886303428821568e-24,0.0154968649148941,1
sentence_shift,L,83,-0.43411238648185835,0.022779300084825108,48,-19.057318919603297,9.51112668565297e-24,0.0157812219113111,1
sentence_shift,L,84,-0.5534241411901034,0.021509066721478138,48,-25.729807264834747,2.4078536986888924e-29,0.0159307047724723,1
sentence_shift,L,85,-0.059839939050095305,0.007970223920034474,48,-7.507936997814796,1.3939921922270466e-09,0.0159959252923727,1
sentence_shift,L,86,-0.41312483216670537,0.01692127368721271,48,-24.414523386552215,2.39669612774428e-28,0.0163249354809522,1
sentence_shift,L,87,-0.11250767013944253,0.01101800001029811,48,-10.211260667479204,1.6240008611516742e-13,0.0165493730455636,1
sentence_shift,L,88,-0.5796116769519198,0.01711975722176013,48,-33.85630236713885,1.1562775490944637e-34,0.0166782364249229,1
sentence_shift,L,89,-0.16234090522058878,0.02091824904047448,48,-7.760731068192049,5.809384642236979e-10,0.0169897153973579,1
sentence_shift,L,90,-0.20628347904539138,0.012429894301128955,48,-16.59575488318155,2.771448740576535e-21,0.0170869976282119,1
sentence_shift,L,91,-0.12907447259487612,0.01339226773077958,48,-9.637984782683443,1.038409427414112e-12,0.0171879101544618,1
sentence_shift,L,92,-0.2444917116481058,0.018561721958660952,48,-13.17182275397813,2.175739876599563e-17,0.0173780377954244,1
sentence_shift,L,93,-0.9531778576775455,0.03598977509654478,48,-26.484685028472324,6.740666236733222e-30,0.0176062751561403,1
sentence_shift,L,94,-0.17645303848389904,0.010588106044922538,48,-16.665212620203786,2.3420057782012363e-21,0.017727717757225,1
sentence_shift,L,95,-0.04878378174751304,0.006228452441433252,48,-7.832408163381148,4.5360577208592154e-10,0.0180606748908758,1
sentence_shift,L,96,-0.6425551736950003,0.0255818773653926,48,-25.117592603436325,6.926786226626928e-29,0.0183309633284807,1
sentence_shift,L,97,-0.241281544705414,0.013165136379719281,48,-18.327310689853928,4.8176967962539443e-23,0.0185584239661693,1
sentence_shift,L,98,-0.32588234856647286,0.022855079939384716,48,-14.258639629822532,1.0884927123802916e-18,0.0187302939593791,1
sentence_shift,L,99,-0.12442341783303579,0.010709275750951179,48,-11.618285001390943,2.036618651417921e-15,0.0188728664070367,1
sentence_shift,L,100,-0.12943455387191694,0.01173915103539073,48,-11.025887091979886,1.2478011302698989e-14,0.0190864745527505,1
sentence_shift,L,101,-0.8996962730364766,0.026272844327860794,48,-34.24434224970466,6.907532089885237e-35,0.019279059022665,1
sentence_shift,L,102,-0.5674280963234056,0.02347243480317469,48,-24.17423250214588,3.689057452540502e-28,0.0194607581943273,1
sentence_shift,L,103,-0.27569887896470885,0.025162469166302895,48,-10.956749798383047,1.5463295120268028e-14,0.0196548048406839,1
sentence_shift,L,104,-0.0766603795273853,0.00844014561367315,48,-9.082826652089327,6.4970030825332635e-12,0.0198375191539526,1
sentence_shift,L,105,-0.5249807394189221,0.022212734307930748,48,-23.634224050997858,9.8561822073432e-28,0.0199899114668369,1
sentence_shift,L,106,-0.2329798606370149,0.014687447437771466,48,-15.862515363824519,1.6910398980180094e-20,0.0203421004116535,1
sentence_shift,L,107,-0.1037186869711008,0.007604472189252743,48,-13.63916973983868,5.895749617310147e-18,0.0204064417630434,1
sentence_shift,L,108,-0.1355063159743187,0.010012244263187486,48,-13.53406013799938,7.889541785048848e-18,0.0205841325223445,1
sentence_shift,L,109,-0.06705555031539563,0.008088257386042262,48,-8.290481758297158,9.41874517653104e-11,0.0207765027880668,1
sentence_shift,L,110,-0.06063227584566332,0.005422568745217946,48,-11.181467436283532,7.71774878421344e-15,0.0210340023040771,1
sentence_shift,L,111,-0.6252827546839385,0.023273150570121554,48,-26.867129690927477,3.5795011317591914e-30,0.0211396422237157,1
sentence_shift,L,112,-1.1644245326810398,0.03786019363776769,48,-30.755905366512977,8.718215761702316e-33,0.0213069375604391,1
sentence_shift,L,113,-0.07435778211235848,0.007857332783269905,48,-9.463488967997327,1.8408765104501626e-12,0.0215043816715478,1
sentence_shift,L,114,-0.0344979907765148,0.005193899038899328,48,-6.642021825635158,2.8566575204353565e-08,0.0218461286276578,1
sentence_shift,L,115,-0.07793220711316019,0.008988148088765994,48,-8.67055219200997,2.5916381887556097e-11,0.0219429824501276,1
sentence_shift,L,116,-0.042277644420681736,0.004077149470356535,48,-10.369412435837107,9.803449952957558e-14,0.0221266504377126,1
sentence_shift,L,117,-0.1303728721294226,0.00987131624018005,48,-13.20724298131134,1.9688623890452152e-17,0.0223625842481851,1
sentence_shift,L,118,-0.05441793319037958,0.005933408384147415,48,-9.171445763917198,4.837069024841778e-12,0.0224539022892713,1
sentence_shift,L,119,-0.47749208701503437,0.022069274495874355,48,-21.636057275208437,4.445735344881998e-26,0.0227182861417531,1
sentence_shift,R,0,-2164.0082884260523,25.821149003030783,48,-83.80759075330265,7.88652090771098e-53,,1
sentence_shift,R,1,-1.9951106582580405,0.39959189363873154,48,-4.992870701380663,8.617410933811499e-06,0.0002292282879352,1
sentence_shift,R,2,-18.456457602711733,0.5172550773652992,48,-35.6815397477042,1.0730172175801675e-35,0.0004418147727847,1
sentence_shift,R,3,-164.016518630951,1.2134388998129726,48,-135.1666891973143,1.5181685944043e-62,0.000503646209836,1
sentence_shift,R,4,-6.966940047421365,0.28078529792388973,48,-24.81233917493016,1.1829587554428947e-28,0.0007804138585925,1
sentence_shift,R,5,-0.43079616557755357,0.07738172450310596,48,-5.567156435758449,1.2088492458449262e-06,0.0009679924696683,1
